SN,Province,District ,Administrative Division,Position,Ward,Age,Gender,Party,Vote,Status
783,Province 1,Jhapa,Bhadrapur Urban Municipality,Dalit Female Ward Member,10,50,F,Communist Party of Nepal (UML),1577,Elected
784,Province 1,Jhapa,Mechinagar Urban Municipality,Mayor,,46,M,Nepali Congress,20776,Elected
785,Province 1,Jhapa,Mechinagar Urban Municipality,Vice-Mayor,,49,F,Communist Party of Nepal (UML),20016,Elected
786,Province 1,Jhapa,Mechinagar Urban Municipality,Ward President,1,47,M,Communist Party of Nepal (UML),1213,Elected
787,Province 1,Jhapa,Mechinagar Urban Municipality,Ward Member,1,39,M,Nepali Congress,1203,Elected
788,Province 1,Jhapa,Mechinagar Urban Municipality,Ward Member,1,40,M,Communist Party of Nepal (UML),1126,Elected
789,Province 1,Jhapa,Mechinagar Urban Municipality,Female Ward Member,1,32,F,Communist Party of Nepal (UML),1190,Elected
790,Province 1,Jhapa,Mechinagar Urban Municipality,Dalit Female Ward Member,1,47,F,Communist Party of Nepal (UML),1182,Elected
791,Province 1,Jhapa,Mechinagar Urban Municipality,Ward President,2,56,M,Communist Party of Nepal (UML),1118,Elected
792,Province 1,Jhapa,Mechinagar Urban Municipality,Ward Member,2,42,M,Communist Party of Nepal (UML),1131,Elected
793,Province 1,Jhapa,Mechinagar Urban Municipality,Ward Member,2,50,M,Communist Party of Nepal (UML),1059,Elected
794,Province 1,Jhapa,Mechinagar Urban Municipality,Female Ward Member,2,59,F,Communist Party of Nepal (UML),1128,Elected
795,Province 1,Jhapa,Mechinagar Urban Municipality,Dalit Female Ward Member,2,39,F,Communist Party of Nepal (UML),1200,Elected
796,Province 1,Jhapa,Mechinagar Urban Municipality,Ward President,3,56,M,Communist Party of Nepal (UML),1412,Elected
797,Province 1,Jhapa,Mechinagar Urban Municipality,Ward Member,3,57,M,Communist Party of Nepal (UML),1314,Elected
798,Province 1,Jhapa,Mechinagar Urban Municipality,Ward Member,3,45,M,Communist Party of Nepal (UML),1304,Elected
799,Province 1,Jhapa,Mechinagar Urban Municipality,Female Ward Member,3,43,F,Communist Party of Nepal (UML),1438,Elected
800,Province 1,Jhapa,Mechinagar Urban Municipality,Dalit Female Ward Member,3,46,F,Communist Party of Nepal (UML),1362,Elected
801,Province 1,Jhapa,Mechinagar Urban Municipality,Ward President,4,39,M,Nepali Congress,950,Elected
802,Province 1,Jhapa,Mechinagar Urban Municipality,Ward Member,4,49,M,Communist Party of Nepal (UML),845,Elected
803,Province 1,Jhapa,Mechinagar Urban Municipality,Ward Member,4,49,M,Nepali Congress,802,Elected
804,Province 1,Jhapa,Mechinagar Urban Municipality,Female Ward Member,4,32,F,Nepali Congress,904,Elected
805,Province 1,Jhapa,Mechinagar Urban Municipality,Dalit Female Ward Member,4,44,F,Nepali Congress,932,Elected
806,Province 1,Jhapa,Mechinagar Urban Municipality,Ward President,5,41,M,Nepali Congress,1007,Elected
807,Province 1,Jhapa,Mechinagar Urban Municipality,Ward Member,5,36,M,Nepali Congress,988,Elected
808,Province 1,Jhapa,Mechinagar Urban Municipality,Ward Member,5,64,M,Communist Party of Nepal (UML),911,Elected
809,Province 1,Jhapa,Mechinagar Urban Municipality,Female Ward Member,5,38,F,Nepali Congress,931,Elected
810,Province 1,Jhapa,Mechinagar Urban Municipality,Dalit Female Ward Member,5,38,F,Nepali Congress,965,Elected
811,Province 1,Jhapa,Mechinagar Urban Municipality,Ward President,6,48,M,Nepali Congress,2748,Elected
812,Province 1,Jhapa,Mechinagar Urban Municipality,Ward Member,6,45,M,Communist Party of Nepal (UML),2900,Elected
813,Province 1,Jhapa,Mechinagar Urban Municipality,Ward Member,6,49,M,Communist Party of Nepal (UML),2832,Elected
814,Province 1,Jhapa,Mechinagar Urban Municipality,Female Ward Member,6,39,F,Communist Party of Nepal (UML),2989,Elected
815,Province 1,Jhapa,Mechinagar Urban Municipality,Dalit Female Ward Member,6,37,F,Communist Party of Nepal (UML),2886,Elected
816,Province 1,Jhapa,Mechinagar Urban Municipality,Ward President,7,52,M,Nepali Congress,1450,Elected
817,Province 1,Jhapa,Mechinagar Urban Municipality,Ward Member,7,44,M,Communist Party of Nepal (UML),1600,Elected
818,Province 1,Jhapa,Mechinagar Urban Municipality,Ward Member,7,59,M,Nepali Congress,1499,Elected
819,Province 1,Jhapa,Mechinagar Urban Municipality,Female Ward Member,7,41,F,Communist Party of Nepal (UML),1747,Elected
820,Province 1,Jhapa,Mechinagar Urban Municipality,Dalit Female Ward Member,7,47,F,Communist Party of Nepal (UML),1687,Elected
821,Province 1,Jhapa,Mechinagar Urban Municipality,Ward President,8,49,M,Communist Party of Nepal (UML),1409,Elected
822,Province 1,Jhapa,Mechinagar Urban Municipality,Ward Member,8,30,M,Communist Party of Nepal (UML),1285,Elected
823,Province 1,Jhapa,Mechinagar Urban Municipality,Ward Member,8,52,M,Communist Party of Nepal (UML),1244,Elected
824,Province 1,Jhapa,Mechinagar Urban Municipality,Female Ward Member,8,52,F,Nepali Congress,1342,Elected
825,Province 1,Jhapa,Mechinagar Urban Municipality,Dalit Female Ward Member,8,46,F,Communist Party of Nepal (UML),1373,Elected
826,Province 1,Jhapa,Mechinagar Urban Municipality,Ward President,9,62,M,Nepali Congress,2164,Elected
827,Province 1,Jhapa,Mechinagar Urban Municipality,Ward Member,9,55,M,Nepali Congress,1876,Elected
828,Province 1,Jhapa,Mechinagar Urban Municipality,Ward Member,9,65,M,Nepali Congress,1842,Elected
829,Province 1,Jhapa,Mechinagar Urban Municipality,Female Ward Member,9,39,F,Nepali Congress,1938,Elected
830,Province 1,Jhapa,Mechinagar Urban Municipality,Dalit Female Ward Member,9,34,F,Nepali Congress,2009,Elected
831,Province 1,Jhapa,Mechinagar Urban Municipality,Ward President,10,45,M,Nepali Congress,2443,Elected
832,Province 1,Jhapa,Mechinagar Urban Municipality,Ward Member,10,37,M,Nepali Congress,2215,Elected
833,Province 1,Jhapa,Mechinagar Urban Municipality,Ward Member,10,41,M,Nepali Congress,2170,Elected
834,Province 1,Jhapa,Mechinagar Urban Municipality,Female Ward Member,10,42,F,Nepali Congress,2276,Elected
835,Province 1,Jhapa,Mechinagar Urban Municipality,Dalit Female Ward Member,10,48,F,Nepali Congress,2372,Elected
836,Province 1,Jhapa,Mechinagar Urban Municipality,Ward President,11,55,M,Communist Party of Nepal (UML),971,Elected
837,Province 1,Jhapa,Mechinagar Urban Municipality,Ward Member,11,24,M,Communist Party of Nepal (UML),1049,Elected
838,Province 1,Jhapa,Mechinagar Urban Municipality,Ward Member,11,60,M,Communist Party of Nepal (UML),982,Elected
839,Province 1,Jhapa,Mechinagar Urban Municipality,Female Ward Member,11,52,F,Communist Party of Nepal (UML),1070,Elected
840,Province 1,Jhapa,Mechinagar Urban Municipality,Dalit Female Ward Member,11,49,F,Communist Party of Nepal (UML),1080,Elected
841,Province 1,Jhapa,Mechinagar Urban Municipality,Ward President,12,39,M,Communist Party of Nepal (Maoist Centre),980,Elected
842,Province 1,Jhapa,Mechinagar Urban Municipality,Ward Member,12,49,M,Communist Party of Nepal (UML),922,Elected
843,Province 1,Jhapa,Mechinagar Urban Municipality,Ward Member,12,49,F,Communist Party of Nepal (Maoist Centre),882,Elected
844,Province 1,Jhapa,Mechinagar Urban Municipality,Female Ward Member,12,38,F,Communist Party of Nepal (UML),961,Elected
845,Province 1,Jhapa,Mechinagar Urban Municipality,Dalit Female Ward Member,12,48,F,Communist Party of Nepal (UML),1017,Elected
846,Province 1,Jhapa,Mechinagar Urban Municipality,Ward President,13,38,M,Communist Party of Nepal (UML),764,Elected
847,Province 1,Jhapa,Mechinagar Urban Municipality,Ward Member,13,36,M,Communist Party of Nepal (UML),815,Elected
848,Province 1,Jhapa,Mechinagar Urban Municipality,Ward Member,13,54,M,Communist Party of Nepal (UML),809,Elected
849,Province 1,Jhapa,Mechinagar Urban Municipality,Female Ward Member,13,45,F,Communist Party of Nepal (UML),843,Elected
850,Province 1,Jhapa,Mechinagar Urban Municipality,Dalit Female Ward Member,13,38,F,Communist Party of Nepal (UML),837,Elected
851,Province 1,Jhapa,Mechinagar Urban Municipality,Ward President,14,59,M,Communist Party of Nepal (UML),962,Elected
852,Province 1,Jhapa,Mechinagar Urban Municipality,Ward Member,14,52,M,Communist Party of Nepal (UML),986,Elected
853,Province 1,Jhapa,Mechinagar Urban Municipality,Ward Member,14,48,M,Communist Party of Nepal (UML),973,Elected
854,Province 1,Jhapa,Mechinagar Urban Municipality,Female Ward Member,14,44,F,Communist Party of Nepal (UML),983,Elected
855,Province 1,Jhapa,Mechinagar Urban Municipality,Dalit Female Ward Member,14,47,F,Communist Party of Nepal (UML),996,Elected
856,Province 1,Jhapa,Mechinagar Urban Municipality,Ward President,15,42,M,Nepali Congress,1033,Elected
857,Province 1,Jhapa,Mechinagar Urban Municipality,Ward Member,15,41,M,Nepali Congress,1107,Elected
858,Province 1,Jhapa,Mechinagar Urban Municipality,Ward Member,15,35,M,Communist Party of Nepal (UML),979,Elected
859,Province 1,Jhapa,Mechinagar Urban Municipality,Female Ward Member,15,40,F,Communist Party of Nepal (UML),1038,Elected
860,Province 1,Jhapa,Mechinagar Urban Municipality,Dalit Female Ward Member,15,62,F,Nepali Congress,994,Elected
861,Province 1,Jhapa,Birtamod Urban Municipality,Mayor,,61,M,Communist Party of Nepal (UML),9112,Elected
862,Province 1,Jhapa,Birtamod Urban Municipality,Vice-Mayor,,46,F,Communist Party of Nepal (UML),10437,Elected
863,Province 1,Jhapa,Birtamod Urban Municipality,Ward President,1,57,M,Communist Party of Nepal (UML),1272,Elected
864,Province 1,Jhapa,Birtamod Urban Municipality,Ward Member,1,39,M,Communist Party of Nepal (UML),1188,Elected
865,Province 1,Jhapa,Birtamod Urban Municipality,Ward Member,1,51,M,Communist Party of Nepal (UML),1151,Elected
866,Province 1,Jhapa,Birtamod Urban Municipality,Female Ward Member,1,53,F,Communist Party of Nepal (UML),1209,Elected
867,Province 1,Jhapa,Birtamod Urban Municipality,Dalit Female Ward Member,1,44,F,Communist Party of Nepal (UML),1203,Elected
868,Province 1,Jhapa,Birtamod Urban Municipality,Ward President,2,46,M,Communist Party of Nepal (UML),1579,Elected
869,Province 1,Jhapa,Birtamod Urban Municipality,Ward Member,2,37,M,Communist Party of Nepal (UML),1660,Elected
870,Province 1,Jhapa,Birtamod Urban Municipality,Ward Member,2,61,M,Communist Party of Nepal (UML),1637,Elected
871,Province 1,Jhapa,Birtamod Urban Municipality,Female Ward Member,2,38,F,Communist Party of Nepal (UML),1685,Elected
872,Province 1,Jhapa,Birtamod Urban Municipality,Dalit Female Ward Member,2,29,F,Communist Party of Nepal (UML),1741,Elected
873,Province 1,Jhapa,Birtamod Urban Municipality,Ward President,3,51,M,Nepali Congress,1299,Elected
874,Province 1,Jhapa,Birtamod Urban Municipality,Ward Member,3,35,M,Nepali Congress,1156,Elected
875,Province 1,Jhapa,Birtamod Urban Municipality,Ward Member,3,41,M,Nepali Congress,1100,Elected
876,Province 1,Jhapa,Birtamod Urban Municipality,Female Ward Member,3,40,F,Nepali Congress,1202,Elected
877,Province 1,Jhapa,Birtamod Urban Municipality,Dalit Female Ward Member,3,48,F,Nepali Congress,1219,Elected
878,Province 1,Jhapa,Birtamod Urban Municipality,Ward President,4,62,M,Nepali Congress,1132,Elected
879,Province 1,Jhapa,Birtamod Urban Municipality,Ward Member,4,29,M,Communist Party of Nepal (UML),1253,Elected
880,Province 1,Jhapa,Birtamod Urban Municipality,Ward Member,4,54,M,Communist Party of Nepal (UML),1224,Elected
881,Province 1,Jhapa,Birtamod Urban Municipality,Female Ward Member,4,52,F,Communist Party of Nepal (UML),1212,Elected
882,Province 1,Jhapa,Birtamod Urban Municipality,Dalit Female Ward Member,4,40,F,Communist Party of Nepal (UML),1238,Elected
883,Province 1,Jhapa,Birtamod Urban Municipality,Ward President,5,56,M,Communist Party of Nepal (UML),2104,Elected
884,Province 1,Jhapa,Birtamod Urban Municipality,Ward Member,5,46,M,Communist Party of Nepal (UML),1867,Elected
885,Province 1,Jhapa,Birtamod Urban Municipality,Ward Member,5,42,M,Communist Party of Nepal (UML),1827,Elected
886,Province 1,Jhapa,Birtamod Urban Municipality,Female Ward Member,5,47,F,Communist Party of Nepal (UML),1971,Elected
887,Province 1,Jhapa,Birtamod Urban Municipality,Dalit Female Ward Member,5,48,F,Communist Party of Nepal (UML),1969,Elected
888,Province 1,Jhapa,Birtamod Urban Municipality,Ward President,6,55,M,Nepali Congress,758,Elected
889,Province 1,Jhapa,Birtamod Urban Municipality,Ward Member,6,39,M,Nepali Congress,650,Elected
890,Province 1,Jhapa,Birtamod Urban Municipality,Ward Member,6,48,M,Nepali Congress,582,Elected
891,Province 1,Jhapa,Birtamod Urban Municipality,Female Ward Member,6,34,F,Nepali Congress,751,Elected
892,Province 1,Jhapa,Birtamod Urban Municipality,Dalit Female Ward Member,6,31,F,Nepali Congress,664,Elected
893,Province 1,Jhapa,Birtamod Urban Municipality,Ward President,7,60,M,Communist Party of Nepal (UML),981,Elected
894,Province 1,Jhapa,Birtamod Urban Municipality,Ward Member,7,49,M,Communist Party of Nepal (UML),925,Elected
895,Province 1,Jhapa,Birtamod Urban Municipality,Ward Member,7,52,M,Communist Party of Nepal (UML),833,Elected
896,Province 1,Jhapa,Birtamod Urban Municipality,Female Ward Member,7,43,F,Communist Party of Nepal (UML),958,Elected
897,Province 1,Jhapa,Birtamod Urban Municipality,Dalit Female Ward Member,7,38,F,Communist Party of Nepal (UML),938,Elected
898,Province 1,Jhapa,Birtamod Urban Municipality,Ward President,8,34,M,Rastriya Prajatantra Party,1027,Elected
899,Province 1,Jhapa,Birtamod Urban Municipality,Ward Member,8,59,M,Communist Party of Nepal (UML),689,Elected
900,Province 1,Jhapa,Birtamod Urban Municipality,Ward Member,8,48,M,Communist Party of Nepal (UML),654,Elected
901,Province 1,Jhapa,Birtamod Urban Municipality,Female Ward Member,8,39,F,Rastriya Prajatantra Party,731,Elected
902,Province 1,Jhapa,Birtamod Urban Municipality,Dalit Female Ward Member,8,35,F,Rastriya Prajatantra Party,725,Elected
903,Province 1,Jhapa,Birtamod Urban Municipality,Ward President,9,45,F,Communist Party of Nepal (UML),576,Elected
904,Province 1,Jhapa,Birtamod Urban Municipality,Ward Member,9,42,M,Communist Party of Nepal (UML),660,Elected
905,Province 1,Jhapa,Birtamod Urban Municipality,Ward Member,9,51,M,Communist Party of Nepal (UML),641,Elected
906,Province 1,Jhapa,Birtamod Urban Municipality,Female Ward Member,9,46,F,Communist Party of Nepal (UML),681,Elected
907,Province 1,Jhapa,Birtamod Urban Municipality,Dalit Female Ward Member,9,22,F,Communist Party of Nepal (UML),704,Elected
908,Province 1,Jhapa,Birtamod Urban Municipality,Ward President,10,61,M,Nepali Congress,936,Elected
909,Province 1,Jhapa,Birtamod Urban Municipality,Ward Member,10,49,M,Nepali Congress,903,Elected
910,Province 1,Jhapa,Birtamod Urban Municipality,Ward Member,10,62,M,Communist Party of Nepal (UML),884,Elected
911,Province 1,Jhapa,Birtamod Urban Municipality,Female Ward Member,10,37,F,Communist Party of Nepal (UML),978,Elected
912,Province 1,Jhapa,Birtamod Urban Municipality,Dalit Female Ward Member,10,25,F,Nepali Congress,995,Elected
913,Province 1,Jhapa,Shivasatakshi Urban Municipality,Mayor,,55,M,Communist Party of Nepal (UML),13439,Elected
914,Province 1,Jhapa,Shivasatakshi Urban Municipality,Vice-Mayor,,56,F,Communist Party of Nepal (UML),13472,Elected
915,Province 1,Jhapa,Shivasatakshi Urban Municipality,Ward President,1,52,M,Communist Party of Nepal (UML),749,Elected
916,Province 1,Jhapa,Shivasatakshi Urban Municipality,Ward Member,1,50,M,Communist Party of Nepal (UML),886,Elected
917,Province 1,Jhapa,Shivasatakshi Urban Municipality,Ward Member,1,51,M,Communist Party of Nepal (UML),832,Elected
918,Province 1,Jhapa,Shivasatakshi Urban Municipality,Female Ward Member,1,45,F,Communist Party of Nepal (UML),916,Elected
919,Province 1,Jhapa,Shivasatakshi Urban Municipality,Dalit Female Ward Member,1,43,F,Communist Party of Nepal (UML),920,Elected
920,Province 1,Jhapa,Shivasatakshi Urban Municipality,Ward President,2,53,M,Communist Party of Nepal (UML),1055,Elected
921,Province 1,Jhapa,Shivasatakshi Urban Municipality,Ward Member,2,50,M,Communist Party of Nepal (UML),1027,Elected
922,Province 1,Jhapa,Shivasatakshi Urban Municipality,Ward Member,2,51,M,Communist Party of Nepal (UML),953,Elected
923,Province 1,Jhapa,Shivasatakshi Urban Municipality,Female Ward Member,2,44,F,Communist Party of Nepal (UML),1083,Elected
924,Province 1,Jhapa,Shivasatakshi Urban Municipality,Dalit Female Ward Member,2,37,F,Communist Party of Nepal (UML),1107,Elected
925,Province 1,Jhapa,Shivasatakshi Urban Municipality,Ward President,3,49,M,Communist Party of Nepal (UML),807,Elected
926,Province 1,Jhapa,Shivasatakshi Urban Municipality,Ward Member,3,50,M,Communist Party of Nepal (UML),844,Elected
927,Province 1,Jhapa,Shivasatakshi Urban Municipality,Ward Member,3,54,M,Communist Party of Nepal (UML),808,Elected
928,Province 1,Jhapa,Shivasatakshi Urban Municipality,Female Ward Member,3,39,F,Communist Party of Nepal (UML),858,Elected
929,Province 1,Jhapa,Shivasatakshi Urban Municipality,Dalit Female Ward Member,3,33,F,Communist Party of Nepal (UML),877,Elected
930,Province 1,Jhapa,Shivasatakshi Urban Municipality,Ward President,4,56,M,Nepali Congress,1384,Elected
931,Province 1,Jhapa,Shivasatakshi Urban Municipality,Ward Member,4,66,M,Nepali Congress,1061,Elected
932,Province 1,Jhapa,Shivasatakshi Urban Municipality,Ward Member,4,52,M,Communist Party of Nepal (UML),1042,Elected
933,Province 1,Jhapa,Shivasatakshi Urban Municipality,Female Ward Member,4,54,F,Nepali Congress,1227,Elected
934,Province 1,Jhapa,Shivasatakshi Urban Municipality,Dalit Female Ward Member,4,37,F,Nepali Congress,1238,Elected
935,Province 1,Jhapa,Shivasatakshi Urban Municipality,Ward President,5,47,M,Communist Party of Nepal (UML),903,Elected
936,Province 1,Jhapa,Shivasatakshi Urban Municipality,Ward Member,5,46,M,Communist Party of Nepal (UML),810,Elected
937,Province 1,Jhapa,Shivasatakshi Urban Municipality,Ward Member,5,52,M,Communist Party of Nepal (UML),772,Elected
938,Province 1,Jhapa,Shivasatakshi Urban Municipality,Female Ward Member,5,55,F,Communist Party of Nepal (UML),783,Elected
939,Province 1,Jhapa,Shivasatakshi Urban Municipality,Dalit Female Ward Member,5,34,F,Communist Party of Nepal (UML),869,Elected
940,Province 1,Jhapa,Shivasatakshi Urban Municipality,Ward President,6,27,M,Nepali Congress,989,Elected
941,Province 1,Jhapa,Shivasatakshi Urban Municipality,Ward Member,6,56,M,Communist Party of Nepal (UML),891,Elected
942,Province 1,Jhapa,Shivasatakshi Urban Municipality,Ward Member,6,49,M,Communist Party of Nepal (UML),864,Elected
943,Province 1,Jhapa,Shivasatakshi Urban Municipality,Female Ward Member,6,62,F,Communist Party of Nepal (UML),963,Elected
944,Province 1,Jhapa,Shivasatakshi Urban Municipality,Dalit Female Ward Member,6,58,F,Nepali Congress,897,Elected
945,Province 1,Jhapa,Shivasatakshi Urban Municipality,Ward President,7,35,M,Communist Party of Nepal (UML),1821,Elected
946,Province 1,Jhapa,Shivasatakshi Urban Municipality,Ward Member,7,59,M,Communist Party of Nepal (UML),1781,Elected
947,Province 1,Jhapa,Shivasatakshi Urban Municipality,Ward Member,7,64,M,Communist Party of Nepal (UML),1713,Elected
948,Province 1,Jhapa,Shivasatakshi Urban Municipality,Female Ward Member,7,54,F,Communist Party of Nepal (UML),1821,Elected
949,Province 1,Jhapa,Shivasatakshi Urban Municipality,Dalit Female Ward Member,7,37,F,Communist Party of Nepal (UML),1846,Elected
950,Province 1,Jhapa,Shivasatakshi Urban Municipality,Ward President,8,54,M,Communist Party of Nepal (UML),1626,Elected
951,Province 1,Jhapa,Shivasatakshi Urban Municipality,Ward Member,8,54,M,Communist Party of Nepal (UML),1756,Elected
952,Province 1,Jhapa,Shivasatakshi Urban Municipality,Ward Member,8,59,M,Communist Party of Nepal (UML),1397,Elected
953,Province 1,Jhapa,Shivasatakshi Urban Municipality,Female Ward Member,8,51,F,Communist Party of Nepal (UML),1491,Elected
954,Province 1,Jhapa,Shivasatakshi Urban Municipality,Dalit Female Ward Member,8,47,F,Communist Party of Nepal (UML),1517,Elected
955,Province 1,Jhapa,Shivasatakshi Urban Municipality,Ward President,9,68,M,Communist Party of Nepal (UML),1233,Elected
956,Province 1,Jhapa,Shivasatakshi Urban Municipality,Ward Member,9,52,M,Communist Party of Nepal (UML),1331,Elected
957,Province 1,Jhapa,Shivasatakshi Urban Municipality,Ward Member,9,62,M,Communist Party of Nepal (UML),1310,Elected
958,Province 1,Jhapa,Shivasatakshi Urban Municipality,Female Ward Member,9,47,F,Communist Party of Nepal (UML),1390,Elected
959,Province 1,Jhapa,Shivasatakshi Urban Municipality,Dalit Female Ward Member,9,38,F,Communist Party of Nepal (UML),1393,Elected
960,Province 1,Jhapa,Shivasatakshi Urban Municipality,Ward President,10,65,M,Communist Party of Nepal (UML),1032,Elected
961,Province 1,Jhapa,Shivasatakshi Urban Municipality,Ward Member,10,50,M,Communist Party of Nepal (UML),1123,Elected
962,Province 1,Jhapa,Shivasatakshi Urban Municipality,Ward Member,10,40,M,Communist Party of Nepal (UML),1032,Elected
963,Province 1,Jhapa,Shivasatakshi Urban Municipality,Female Ward Member,10,55,F,Communist Party of Nepal (UML),991,Elected
964,Province 1,Jhapa,Shivasatakshi Urban Municipality,Dalit Female Ward Member,10,50,F,Communist Party of Nepal (UML),1093,Elected
965,Province 1,Jhapa,Shivasatakshi Urban Municipality,Ward President,11,62,M,Communist Party of Nepal (UML),1571,Elected
966,Province 1,Jhapa,Shivasatakshi Urban Municipality,Ward Member,11,31,M,Communist Party of Nepal (UML),1626,Elected
967,Province 1,Jhapa,Shivasatakshi Urban Municipality,Ward Member,11,58,M,Communist Party of Nepal (UML),1583,Elected
968,Province 1,Jhapa,Shivasatakshi Urban Municipality,Female Ward Member,11,56,F,Communist Party of Nepal (UML),1623,Elected
969,Province 1,Jhapa,Shivasatakshi Urban Municipality,Dalit Female Ward Member,11,34,F,Communist Party of Nepal (UML),1663,Elected
970,Province 1,Jhapa,Haldibari Rural Municipality,Mayor,,47,M,Rastriya Prajatantra Party,3943,Elected
971,Province 1,Jhapa,Haldibari Rural Municipality,Vice-Mayor,,34,M,Communist Party of Nepal (UML),4386,Elected
972,Province 1,Jhapa,Haldibari Rural Municipality,Ward President,1,39,M,Communist Party of Nepal (UML),1643,Elected
973,Province 1,Jhapa,Haldibari Rural Municipality,Ward Member,1,41,M,Communist Party of Nepal (UML),1369,Elected
974,Province 1,Jhapa,Haldibari Rural Municipality,Ward Member,1,50,M,Communist Party of Nepal (UML),1341,Elected
975,Province 1,Jhapa,Haldibari Rural Municipality,Female Ward Member,1,36,F,Communist Party of Nepal (UML),1396,Elected
976,Province 1,Jhapa,Haldibari Rural Municipality,Dalit Female Ward Member,1,35,F,Communist Party of Nepal (UML),1471,Elected
977,Province 1,Jhapa,Haldibari Rural Municipality,Ward President,2,48,M,Communist Party of Nepal (Maoist Centre),1263,Elected
978,Province 1,Jhapa,Haldibari Rural Municipality,Ward Member,2,46,M,Communist Party of Nepal (Maoist Centre),1328,Elected
979,Province 1,Jhapa,Haldibari Rural Municipality,Ward Member,2,36,M,Communist Party of Nepal (Maoist Centre),1221,Elected
980,Province 1,Jhapa,Haldibari Rural Municipality,Female Ward Member,2,38,F,Communist Party of Nepal (Maoist Centre),1227,Elected
981,Province 1,Jhapa,Haldibari Rural Municipality,Dalit Female Ward Member,2,56,F,Communist Party of Nepal (Maoist Centre),1202,Elected
982,Province 1,Jhapa,Haldibari Rural Municipality,Ward President,3,40,F,Communist Party of Nepal (UML),604,Elected
983,Province 1,Jhapa,Haldibari Rural Municipality,Ward Member,3,59,M,Communist Party of Nepal (UML),690,Elected
984,Province 1,Jhapa,Haldibari Rural Municipality,Ward Member,3,52,M,Communist Party of Nepal (UML),687,Elected
985,Province 1,Jhapa,Haldibari Rural Municipality,Female Ward Member,3,53,F,Communist Party of Nepal (UML),728,Elected
986,Province 1,Jhapa,Haldibari Rural Municipality,Dalit Female Ward Member,3,27,F,Communist Party of Nepal (UML),718,Elected
987,Province 1,Jhapa,Haldibari Rural Municipality,Ward President,4,44,M,Nepali Congress,768,Elected
988,Province 1,Jhapa,Haldibari Rural Municipality,Ward Member,4,51,M,Communist Party of Nepal (UML),757,Elected
989,Province 1,Jhapa,Haldibari Rural Municipality,Ward Member,4,32,M,Communist Party of Nepal (UML),652,Elected
990,Province 1,Jhapa,Haldibari Rural Municipality,Female Ward Member,4,34,F,Communist Party of Nepal (UML),702,Elected
991,Province 1,Jhapa,Haldibari Rural Municipality,Dalit Female Ward Member,4,37,F,Communist Party of Nepal (UML),682,Elected
992,Province 1,Jhapa,Haldibari Rural Municipality,Ward President,5,62,M,Rastriya Prajatantra Party,406,Elected
993,Province 1,Jhapa,Haldibari Rural Municipality,Ward Member,5,30,M,Rastriya Prajatantra Party,531,Elected
994,Province 1,Jhapa,Haldibari Rural Municipality,Ward Member,5,68,M,Rastriya Prajatantra Party,427,Elected
995,Province 1,Jhapa,Haldibari Rural Municipality,Female Ward Member,5,63,F,Rastriya Prajatantra Party,423,Elected
996,Province 1,Jhapa,Haldibari Rural Municipality,Dalit Female Ward Member,5,32,F,Rastriya Prajatantra Party,412,ननर्ान्च
997,Province 1,Sankhuwasawa,Khandabari Urban Municipality,Mayor,,60,M,Communist Party of Nepal (UML),5565,Elected
998,Province 1,Sankhuwasawa,Khandabari Urban Municipality,Vice-Mayor,,52,F,Communist Party of Nepal (UML),5493,Elected
999,Province 1,Sankhuwasawa,Khandabari Urban Municipality,Ward President,1,38,M,Nepali Congress,611,Elected
1000,Province 1,Sankhuwasawa,Khandabari Urban Municipality,Ward Member,1,50,M,Communist Party of Nepal (UML),611,Elected
1001,Province 1,Sankhuwasawa,Khandabari Urban Municipality,Ward Member,1,62,M,Nepali Congress,604,Elected
1002,Province 1,Sankhuwasawa,Khandabari Urban Municipality,Female Ward Member,1,49,F,Nepali Congress,584,Elected
1003,Province 1,Sankhuwasawa,Khandabari Urban Municipality,Dalit Female Ward Member,1,32,F,Nepali Congress,593,Elected
1004,Province 1,Sankhuwasawa,Khandabari Urban Municipality,Ward President,2,49,M,Communist Party of Nepal (UML),339,Elected
1005,Province 1,Sankhuwasawa,Khandabari Urban Municipality,Ward Member,2,34,M,Communist Party of Nepal (UML),355,Elected
1006,Province 1,Sankhuwasawa,Khandabari Urban Municipality,Ward Member,2,34,M,Nepali Congress,341,Elected
1007,Province 1,Sankhuwasawa,Khandabari Urban Municipality,Female Ward Member,2,48,F,Communist Party of Nepal (UML),319,Elected
1008,Province 1,Sankhuwasawa,Khandabari Urban Municipality,Dalit Female Ward Member,2,37,F,Nepali Congress,332,Elected
1009,Province 1,Sankhuwasawa,Khandabari Urban Municipality,Ward President,3,64,M,Communist Party of Nepal (UML),490,Elected
1010,Province 1,Sankhuwasawa,Khandabari Urban Municipality,Ward Member,3,50,M,Communist Party of Nepal (UML),540,Elected
1011,Province 1,Sankhuwasawa,Khandabari Urban Municipality,Ward Member,3,62,M,Communist Party of Nepal (UML),512,Elected
1012,Province 1,Sankhuwasawa,Khandabari Urban Municipality,Female Ward Member,3,38,F,Communist Party of Nepal (UML),531,Elected
1013,Province 1,Sankhuwasawa,Khandabari Urban Municipality,Dalit Female Ward Member,3,29,F,Communist Party of Nepal (UML),546,Elected
1014,Province 1,Sankhuwasawa,Khandabari Urban Municipality,Ward President,4,39,M,Nepali Congress,613,Elected
