SN,Province,District,Administrative Division,Position,Ward,Age,Gender,Party,Votes,Status
2075,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Dalit Female Ward Member,3,29,F,Nepali Congress,1137,Elected
2076,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Ward President,4,56,M,Nepali Congress,780,Elected
2077,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Ward Member,4,53,M,Nepali Congress,828,Elected
2078,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Ward Member,4,39,M,Nepali Congress,815,Elected
2079,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Female Ward Member,4,40,F,Nepali Congress,882,Elected
2080,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Dalit Female Ward Member,4,34,F,Nepali Congress,979,Elected
2081,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Ward President,5,62,M,Nepali Congress,1251,Elected
2082,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Ward Member,5,51,M,Nepali Congress,1542,Elected
2083,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Ward Member,5,59,M,Nepali Congress,1540,Elected
2084,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Female Ward Member,5,49,F,Nepali Congress,1787,Elected
2085,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Dalit Female Ward Member,5,51,F,Nepali Congress,1618,Elected
2086,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Ward President,6,41,M,Communist Party of Nepal (Maoist Centre),876,Elected
2087,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Ward Member,6,46,M,Communist Party of Nepal (Maoist Centre),619,Elected
2088,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Ward Member,6,32,M,Communist Party of Nepal (Maoist Centre),571,Elected
2089,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Female Ward Member,6,25,F,Communist Party of Nepal (Maoist Centre),634,Elected
2090,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Dalit Female Ward Member,6,44,F,Communist Party of Nepal (Maoist Centre),655,Elected
2091,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Ward President,7,40,M,Nepali Congress,1299,Elected
2092,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Ward Member,7,46,M,Nepali Congress,1302,Elected
2093,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Ward Member,7,36,M,Nepali Congress,1117,Elected
2094,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Female Ward Member,7,47,F,Nepali Congress,1117,Elected
2095,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Dalit Female Ward Member,7,24,F,Nepali Congress,1166,Elected
2096,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Ward President,8,48,M,Nepali Congress,812,Elected
2097,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Ward Member,8,37,M,Nepali Congress,674,Elected
2098,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Ward Member,8,58,M,Nepali Congress,651,Elected
2099,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Female Ward Member,8,35,F,Nepali Congress,650,Elected
2100,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Dalit Female Ward Member,8,30,F,Nepali Congress,697,Elected
2101,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Ward President,9,36,M,Nepali Congress,465,Elected
2102,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Ward Member,9,38,M,Nepali Congress,386,Elected
2103,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Ward Member,9,38,M,Communist Party of Nepal (UML),368,Elected
2104,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Female Ward Member,9,35,F,Nepali Congress,448,Elected
2105,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Dalit Female Ward Member,9,26,F,Nepali Congress,472,Elected
2106,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Ward President,10,37,M,Nepali Congress,453,Elected
2107,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Ward Member,10,46,F,Nepali Congress,416,Elected
2108,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Ward Member,10,52,M,Nepali Congress,402,Elected
2109,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Female Ward Member,10,43,F,Nepali Congress,403,Elected
2110,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Ward President,11,40,M,Communist Party of Nepal (Maoist Centre),556,Elected
2111,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Ward Member,11,55,M,Nepali Congress,599,Elected
2112,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Ward Member,11,41,M,Nepali Congress,574,Elected
2113,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Female Ward Member,11,51,F,Communist Party of Nepal (Maoist Centre),579,Elected
2114,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Dalit Female Ward Member,11,24,F,Communist Party of Nepal (UML),586,Elected
2115,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Ward President,12,59,M,Nepali Congress,1301,Elected
2116,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Ward Member,12,49,M,Nepali Congress,1268,Elected
2117,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Ward Member,12,45,M,Nepali Congress,1249,Elected
2118,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Female Ward Member,12,33,F,Nepali Congress,1238,Elected
2119,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Dalit Female Ward Member,12,35,F,Nepali Congress,1250,Elected
2120,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Ward President,13,29,M,Nepali Congress,1320,Elected
2121,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Ward Member,13,46,M,Nepali Congress,1207,Elected
2122,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Ward Member,13,32,M,Nepali Congress,1148,Elected
2123,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Female Ward Member,13,38,F,Nepali Congress,1226,Elected
2124,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Dalit Female Ward Member,13,37,F,Nepali Congress,1226,Elected
2125,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Ward President,14,55,M,Communist Party of Nepal (UML),1362,Elected
2126,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Ward Member,14,57,M,Communist Party of Nepal (UML),1329,Elected
2127,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Ward Member,14,51,M,Communist Party of Nepal (UML),1324,Elected
2128,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Female Ward Member,14,36,F,Communist Party of Nepal (UML),1382,Elected
2129,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Dalit Female Ward Member,14,52,F,Communist Party of Nepal (UML),1380,Elected
2130,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Ward President,15,40,M,Communist Party of Nepal (Maoist Centre),594,Elected
2131,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Ward Member,15,37,M,Communist Party of Nepal (Maoist Centre),572,Elected
2132,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Ward Member,15,38,M,Communist Party of Nepal (Maoist Centre),561,Elected
2133,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Female Ward Member,15,22,F,Communist Party of Nepal (Maoist Centre),594,Elected
2134,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Dalit Female Ward Member,15,32,F,Communist Party of Nepal (Maoist Centre),589,Elected
2135,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Ward President,16,48,M,Nepali Congress,830,Elected
2136,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Ward Member,16,35,M,Nepali Congress,662,Elected
2137,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Ward Member,16,36,M,Communist Party of Nepal (UML),635,Elected
2138,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Female Ward Member,16,41,F,Communist Party of Nepal (Maoist Centre),698,Elected
2139,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Dalit Female Ward Member,16,40,F,Communist Party of Nepal (Maoist Centre),639,Elected
2140,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Ward President,17,38,M,Nepali Congress,529,Elected
2141,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Ward Member,17,32,M,Communist Party of Nepal (Maoist Centre),503,Elected
2142,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Ward Member,17,35,M,Communist Party of Nepal (Maoist Centre),459,Elected
2143,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Female Ward Member,17,36,F,Communist Party of Nepal (Maoist Centre),482,Elected
2144,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Dalit Female Ward Member,17,29,F,Communist Party of Nepal (Maoist Centre),481,Elected
2145,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Ward President,18,49,M,Communist Party of Nepal (Maoist Centre),1095,Elected
2146,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Ward Member,18,40,M,Communist Party of Nepal (Maoist Centre),810,Elected
2147,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Ward Member,18,40,M,Communist Party of Nepal (UML),808,Elected
2148,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Female Ward Member,18,28,F,Communist Party of Nepal (Maoist Centre),834,Elected
2149,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Dalit Female Ward Member,18,36,F,Communist Party of Nepal (Maoist Centre),844,Elected
2150,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Ward President,19,46,M,Communist Party of Nepal (UML),1391,Elected
2151,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Ward Member,19,50,M,Communist Party of Nepal (UML),1527,Elected
2152,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Ward Member,19,37,M,Communist Party of Nepal (UML),1486,Elected
2153,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Female Ward Member,19,34,F,Communist Party of Nepal (UML),1510,Elected
2154,Province 7,Kailali,Dhangadhi Sub-Metropolitian City,Dalit Female Ward Member,19,30,F,Communist Party of Nepal (UML),1513,Elected
2155,Province 7,Kailali,Bardagoriya Rural Municipality,Mayor,  ,48,M,Nepali Congress,3741,Elected
2156,Province 7,Kailali,Bardagoriya Rural Municipality,Vice-Mayor,  ,37,F,Communist Party of Nepal (Maoist Centre),3913,Elected
2157,Province 7,Kailali,Bardagoriya Rural Municipality,Ward President,1,38,M,Communist Party of Nepal (UML),694,Elected
2158,Province 7,Kailali,Bardagoriya Rural Municipality,Ward Member,1,50,M,Communist Party of Nepal (UML),757,Elected
2159,Province 7,Kailali,Bardagoriya Rural Municipality,Ward Member,1,50,M,Communist Party of Nepal (UML),742,Elected
2160,Province 7,Kailali,Bardagoriya Rural Municipality,Female Ward Member,1,49,F,Communist Party of Nepal (UML),773,Elected
2161,Province 7,Kailali,Bardagoriya Rural Municipality,Dalit Female Ward Member,1,33,F,Communist Party of Nepal (UML),796,Elected
2162,Province 7,Kailali,Bardagoriya Rural Municipality,Ward President,2,47,M,Communist Party of Nepal (Maoist Centre),652,Elected
2163,Province 7,Kailali,Bardagoriya Rural Municipality,Ward Member,2,38,M,Nepali Congress,801,Elected
2164,Province 7,Kailali,Bardagoriya Rural Municipality,Ward Member,2,50,M,Nepali Congress,665,Elected
2165,Province 7,Kailali,Bardagoriya Rural Municipality,Female Ward Member,2,43,F,Nepali Congress,678,Elected
2166,Province 7,Kailali,Bardagoriya Rural Municipality,Dalit Female Ward Member,2,39,F,Nepali Congress,698,Elected
2167,Province 7,Kailali,Bardagoriya Rural Municipality,Ward President,3,70,M,Communist Party of Nepal (UML),468,Elected
2168,Province 7,Kailali,Bardagoriya Rural Municipality,Ward Member,3,33,M,Communist Party of Nepal (UML),477,Elected
2169,Province 7,Kailali,Bardagoriya Rural Municipality,Ward Member,3,49,M,Communist Party of Nepal (UML),455,Elected
2170,Province 7,Kailali,Bardagoriya Rural Municipality,Female Ward Member,3,25,F,Communist Party of Nepal (UML),496,Elected
2171,Province 7,Kailali,Bardagoriya Rural Municipality,Dalit Female Ward Member,3,29,F,Communist Party of Nepal (UML),492,Elected
2172,Province 7,Kailali,Bardagoriya Rural Municipality,Ward President,4,42,M,Communist Party of Nepal (Maoist Centre),832,Elected
2173,Province 7,Kailali,Bardagoriya Rural Municipality,Ward Member,4,38,M,Communist Party of Nepal (Maoist Centre),804,Elected
2174,Province 7,Kailali,Bardagoriya Rural Municipality,Ward Member,4,36,M,Communist Party of Nepal (Maoist Centre),787,Elected
2175,Province 7,Kailali,Bardagoriya Rural Municipality,Female Ward Member,4,53,F,Communist Party of Nepal (Maoist Centre),833,Elected
2176,Province 7,Kailali,Bardagoriya Rural Municipality,Dalit Female Ward Member,4,27,F,Communist Party of Nepal (Maoist Centre),853,Elected
2177,Province 7,Kailali,Bardagoriya Rural Municipality,Ward President,5,44,F,Nepali Congress,950,Elected
2178,Province 7,Kailali,Bardagoriya Rural Municipality,Ward Member,5,45,M,Nepali Congress,1066,Elected
2179,Province 7,Kailali,Bardagoriya Rural Municipality,Ward Member,5,40,M,Nepali Congress,861,Elected
2180,Province 7,Kailali,Bardagoriya Rural Municipality,Female Ward Member,5,57,F,Nepali Congress,953,Elected
2181,Province 7,Kailali,Bardagoriya Rural Municipality,Dalit Female Ward Member,5,36,F,Nepali Congress,996,Elected
2182,Province 7,Kailali,Bardagoriya Rural Municipality,Ward President,6,32,M,Communist Party of Nepal (Maoist Centre),770,Elected
2183,Province 7,Kailali,Bardagoriya Rural Municipality,Ward Member,6,32,M,Communist Party of Nepal (Maoist Centre),784,Elected
2184,Province 7,Kailali,Bardagoriya Rural Municipality,Ward Member,6,34,M,Communist Party of Nepal (Maoist Centre),752,Elected
2185,Province 7,Kailali,Bardagoriya Rural Municipality,Female Ward Member,6,33,F,Communist Party of Nepal (Maoist Centre),784,Elected
2186,Province 7,Kailali,Bardagoriya Rural Municipality,Dalit Female Ward Member,6,37,F,Communist Party of Nepal (Maoist Centre),778,Elected
2187,Province 7,Kailali,Bhajani Urban Municipality,Mayor,  ,38,M,Communist Party of Nepal (Maoist Centre),5228,Elected
2188,Province 7,Kailali,Bhajani Urban Municipality,Vice-Mayor,  ,37,F,Communist Party of Nepal (Maoist Centre),5008,Elected
2189,Province 7,Kailali,Bhajani Urban Municipality,Ward President,1,41,M,Communist Party of Nepal (UML),441,Elected
2190,Province 7,Kailali,Bhajani Urban Municipality,Ward Member,1,35,M,Nepali Congress,479,Elected
2191,Province 7,Kailali,Bhajani Urban Municipality,Ward Member,1,38,M,Nepali Congress,470,Elected
2192,Province 7,Kailali,Bhajani Urban Municipality,Female Ward Member,1,49,F,"Madheshi Jana Adhikar Forum, Nepal (Democratic)",485,Elected
2193,Province 7,Kailali,Bhajani Urban Municipality,Dalit Female Ward Member,1,21,F,Nepali Congress,435,Elected
2194,Province 7,Kailali,Bhajani Urban Municipality,Ward President,2,46,M,Communist Party of Nepal (Maoist Centre),349,Elected
2195,Province 7,Kailali,Bhajani Urban Municipality,Ward Member,2,30,M,"Madheshi Jana Adhikar Forum, Nepal (Democratic)",298,Elected
2196,Province 7,Kailali,Bhajani Urban Municipality,Ward Member,2,48,M,Communist Party of Nepal (Maoist Centre),260,Elected
2197,Province 7,Kailali,Bhajani Urban Municipality,Female Ward Member,2,30,F,Communist Party of Nepal (Maoist Centre),291,Elected
2198,Province 7,Kailali,Bhajani Urban Municipality,Dalit Female Ward Member,2,36,F,Communist Party of Nepal (Maoist Centre),301,Elected
2199,Province 7,Kailali,Bhajani Urban Municipality,Ward President,3,35,M,"Madheshi Jana Adhikar Forum, Nepal (Democratic)",855,Elected
2200,Province 7,Kailali,Bhajani Urban Municipality,Ward Member,3,50,M,"Madheshi Jana Adhikar Forum, Nepal (Democratic)",795,Elected
2201,Province 7,Kailali,Bhajani Urban Municipality,Ward Member,3,36,M,"Madheshi Jana Adhikar Forum, Nepal (Democratic)",757,Elected
2202,Province 7,Kailali,Bhajani Urban Municipality,Female Ward Member,3,34,F,"Madheshi Jana Adhikar Forum, Nepal (Democratic)",930,Elected
2203,Province 7,Kailali,Bhajani Urban Municipality,Dalit Female Ward Member,3,30,F,Nepali Congress,313,Elected
2204,Province 7,Kailali,Bhajani Urban Municipality,Ward President,4,39,M,Communist Party of Nepal (Maoist Centre),1202,Elected
2205,Province 7,Kailali,Bhajani Urban Municipality,Ward Member,4,41,M,Communist Party of Nepal (Maoist Centre),1157,Elected
2206,Province 7,Kailali,Bhajani Urban Municipality,Ward Member,4,46,M,Communist Party of Nepal (Maoist Centre),1155,Elected
2207,Province 7,Kailali,Bhajani Urban Municipality,Female Ward Member,4,33,F,Communist Party of Nepal (Maoist Centre),1170,Elected
2208,Province 7,Kailali,Bhajani Urban Municipality,Dalit Female Ward Member,4,46,F,Communist Party of Nepal (Maoist Centre),1183,Elected
2209,Province 7,Kailali,Bhajani Urban Municipality,Ward President,5,35,M,Communist Party of Nepal (UML),597,Elected
2210,Province 7,Kailali,Bhajani Urban Municipality,Ward Member,5,35,M,Communist Party of Nepal (UML),613,Elected
2211,Province 7,Kailali,Bhajani Urban Municipality,Ward Member,5,29,M,Communist Party of Nepal (UML),551,Elected
2212,Province 7,Kailali,Bhajani Urban Municipality,Female Ward Member,5,35,F,Communist Party of Nepal (Maoist Centre),496,Elected
2213,Province 7,Kailali,Bhajani Urban Municipality,Dalit Female Ward Member,5,49,F,Communist Party of Nepal (UML),500,Elected
2214,Province 7,Kailali,Bhajani Urban Municipality,Ward President,6,41,M,"Madheshi Jana Adhikar Forum, Nepal (Democratic)",725,Elected
2215,Province 7,Kailali,Bhajani Urban Municipality,Ward Member,6,62,M,"Madheshi Jana Adhikar Forum, Nepal (Democratic)",858,Elected
2216,Province 7,Kailali,Bhajani Urban Municipality,Ward Member,6,38,M,"Madheshi Jana Adhikar Forum, Nepal (Democratic)",809,Elected
2217,Province 7,Kailali,Bhajani Urban Municipality,Female Ward Member,6,39,F,"Madheshi Jana Adhikar Forum, Nepal (Democratic)",830,Elected
2218,Province 7,Kailali,Bhajani Urban Municipality,Dalit Female Ward Member,6,38,F,Communist Party of Nepal (Maoist Centre),0,Unopposed
2219,Province 7,Kailali,Bhajani Urban Municipality,Ward President,7,49,M,Nepali Congress,438,Elected
2220,Province 7,Kailali,Bhajani Urban Municipality,Ward Member,7,48,M,Nepali Congress,448,Elected
2221,Province 7,Kailali,Bhajani Urban Municipality,Ward Member,7,41,M,Nepali Congress,420,Elected
2222,Province 7,Kailali,Bhajani Urban Municipality,Female Ward Member,7,45,F,Nepali Congress,464,Elected
2223,Province 7,Kailali,Bhajani Urban Municipality,Dalit Female Ward Member,7,52,F,Nepali Congress,464,Elected
2224,Province 7,Kailali,Bhajani Urban Municipality,Ward President,8,27,M,Communist Party of Nepal (Maoist Centre),619,Elected
2225,Province 7,Kailali,Bhajani Urban Municipality,Ward Member,8,32,M,Communist Party of Nepal (Maoist Centre),677,Elected
2226,Province 7,Kailali,Bhajani Urban Municipality,Ward Member,8,42,M,Communist Party of Nepal (Maoist Centre),675,Elected
2227,Province 7,Kailali,Bhajani Urban Municipality,Female Ward Member,8,26,F,Communist Party of Nepal (Maoist Centre),707,Elected
2228,Province 7,Kailali,Bhajani Urban Municipality,Dalit Female Ward Member,8,39,F,Communist Party of Nepal (Maoist Centre),693,Elected
2229,Province 7,Kailali,Bhajani Urban Municipality,Ward President,9,52,M,Communist Party of Nepal (Maoist Centre),983,Elected
2230,Province 7,Kailali,Bhajani Urban Municipality,Ward Member,9,27,M,Communist Party of Nepal (Maoist Centre),1014,Elected
2231,Province 7,Kailali,Bhajani Urban Municipality,Ward Member,9,28,M,Communist Party of Nepal (Maoist Centre),923,Elected
2232,Province 7,Kailali,Bhajani Urban Municipality,Female Ward Member,9,28,F,Communist Party of Nepal (Maoist Centre),983,Elected
2233,Province 7,Kailali,Bhajani Urban Municipality,Dalit Female Ward Member,9,32,F,Communist Party of Nepal (Maoist Centre),995,Elected
2234,Province 7,Kailali,Mohanyal Rural Municipality,Mayor,  ,74,M,Communist Party of Nepal (UML),1998,Elected
2235,Province 7,Kailali,Mohanyal Rural Municipality,Vice-Mayor,  ,27,F,Communist Party of Nepal (UML),2033,Elected
2236,Province 7,Kailali,Mohanyal Rural Municipality,Ward President,1,49,M,Communist Party of Nepal (Maoist Centre),141,Elected
2237,Province 7,Kailali,Mohanyal Rural Municipality,Ward Member,1,35,M,Communist Party of Nepal (Maoist Centre),143,Elected
2238,Province 7,Kailali,Mohanyal Rural Municipality,Ward Member,1,43,M,Communist Party of Nepal (Maoist Centre),141,Elected
2239,Province 7,Kailali,Mohanyal Rural Municipality,Female Ward Member,1,30,F,Communist Party of Nepal (Maoist Centre),140,Elected
2240,Province 7,Kailali,Mohanyal Rural Municipality,Dalit Female Ward Member,1,36,F,Communist Party of Nepal (Maoist Centre),142,Elected
2241,Province 7,Kailali,Mohanyal Rural Municipality,Ward President,2,30,M,Communist Party of Nepal (Maoist Centre),388,Elected
2242,Province 7,Kailali,Mohanyal Rural Municipality,Ward Member,2,32,M,Communist Party of Nepal (Maoist Centre),391,Elected
2243,Province 7,Kailali,Mohanyal Rural Municipality,Ward Member,2,38,M,Communist Party of Nepal (Maoist Centre),381,Elected
2244,Province 7,Kailali,Mohanyal Rural Municipality,Female Ward Member,2,31,F,Communist Party of Nepal (Maoist Centre),379,Elected
2245,Province 7,Kailali,Mohanyal Rural Municipality,Dalit Female Ward Member,2,38,F,Communist Party of Nepal (Maoist Centre),371,Elected
2246,Province 7,Kailali,Mohanyal Rural Municipality,Ward President,3,29,M,Nepali Congress,272,Elected
2247,Province 7,Kailali,Mohanyal Rural Municipality,Ward Member,3,32,M,Communist Party of Nepal (Maoist Centre),363,Elected
2248,Province 7,Kailali,Mohanyal Rural Municipality,Ward Member,3,36,M,Nepali Congress,330,Elected
2249,Province 7,Kailali,Mohanyal Rural Municipality,Female Ward Member,3,34,F,Communist Party of Nepal (Maoist Centre),263,Elected
2250,Province 7,Kailali,Mohanyal Rural Municipality,Dalit Female Ward Member,3,26,F,Communist Party of Nepal (Maoist Centre),263,Elected
2251,Province 7,Kailali,Mohanyal Rural Municipality,Ward President,4,27,M,Communist Party of Nepal (UML),174,Elected
2252,Province 7,Kailali,Mohanyal Rural Municipality,Ward Member,4,42,M,Communist Party of Nepal (UML),225,Elected
2253,Province 7,Kailali,Mohanyal Rural Municipality,Ward Member,4,35,M,Communist Party of Nepal (UML),214,Elected
2254,Province 7,Kailali,Mohanyal Rural Municipality,Female Ward Member,4,48,F,Communist Party of Nepal (UML),194,Elected
2255,Province 7,Kailali,Mohanyal Rural Municipality,Dalit Female Ward Member,4,33,F,Communist Party of Nepal (UML),196,Elected
2256,Province 7,Kailali,Mohanyal Rural Municipality,Ward President,5,39,M,Communist Party of Nepal (Maoist Centre),406,Elected
2257,Province 7,Kailali,Mohanyal Rural Municipality,Ward Member,5,33,M,Communist Party of Nepal (Maoist Centre),405,Elected
2258,Province 7,Kailali,Mohanyal Rural Municipality,Ward Member,5,42,M,Communist Party of Nepal (UML),306,Elected
2259,Province 7,Kailali,Mohanyal Rural Municipality,Female Ward Member,5,27,F,Communist Party of Nepal (Maoist Centre),405,Elected
2260,Province 7,Kailali,Mohanyal Rural Municipality,Dalit Female Ward Member,5,45,F,Communist Party of Nepal (Maoist Centre),407,Elected
2261,Province 7,Kailali,Mohanyal Rural Municipality,Ward President,6,50,M,Communist Party of Nepal (UML),586,Elected
2262,Province 7,Kailali,Mohanyal Rural Municipality,Ward Member,6,35,M,Communist Party of Nepal (UML),591,Elected
2263,Province 7,Kailali,Mohanyal Rural Municipality,Ward Member,6,55,M,Communist Party of Nepal (UML),579,Elected
2264,Province 7,Kailali,Mohanyal Rural Municipality,Female Ward Member,6,69,F,Communist Party of Nepal (UML),592,Elected
2265,Province 7,Kailali,Mohanyal Rural Municipality,Dalit Female Ward Member,6,27,F,Communist Party of Nepal (UML),602,Elected
2266,Province 7,Kailali,Mohanyal Rural Municipality,Ward President,7,32,M,Communist Party of Nepal (UML),464,Elected
2267,Province 7,Kailali,Mohanyal Rural Municipality,Ward Member,7,45,M,Communist Party of Nepal (UML),457,Elected
2268,Province 7,Kailali,Mohanyal Rural Municipality,Ward Member,7,42,M,Communist Party of Nepal (UML),450,Elected
2269,Province 7,Kailali,Mohanyal Rural Municipality,Female Ward Member,7,62,F,Communist Party of Nepal (UML),455,Elected
2270,Province 7,Kailali,Mohanyal Rural Municipality,Dalit Female Ward Member,7,64,F,Communist Party of Nepal (UML),445,Elected
2271,Province 7,Kailali,Lamki Chuha Urban Municipality,Mayor,  ,40,M,Communist Party of Nepal (UML),7188,Elected
2272,Province 7,Kailali,Lamki Chuha Urban Municipality,Vice-Mayor,  ,48,F,Communist Party of Nepal (UML),7907,Elected
2273,Province 7,Kailali,Lamki Chuha Urban Municipality,Ward President,1,38,M,Communist Party of Nepal (UML),1297,Elected
2274,Province 7,Kailali,Lamki Chuha Urban Municipality,Ward Member,1,50,M,Communist Party of Nepal (UML),1361,Elected
2275,Province 7,Kailali,Lamki Chuha Urban Municipality,Ward Member,1,39,M,Communist Party of Nepal (UML),1276,Elected
2276,Province 7,Kailali,Lamki Chuha Urban Municipality,Female Ward Member,1,39,F,Communist Party of Nepal (UML),1423,Elected
2277,Province 7,Kailali,Lamki Chuha Urban Municipality,Dalit Female Ward Member,1,46,F,Communist Party of Nepal (UML),1490,Elected
2278,Province 7,Kailali,Lamki Chuha Urban Municipality,Ward President,2,36,M,Nepali Congress,755,Elected
2279,Province 7,Kailali,Lamki Chuha Urban Municipality,Ward Member,2,66,M,Communist Party of Nepal (UML),716,Elected
2280,Province 7,Kailali,Lamki Chuha Urban Municipality,Ward Member,2,35,M,Nepali Congress,669,Elected
2281,Province 7,Kailali,Lamki Chuha Urban Municipality,Female Ward Member,2,46,F,Communist Party of Nepal (UML),703,Elected
2282,Province 7,Kailali,Lamki Chuha Urban Municipality,Dalit Female Ward Member,2,24,F,Communist Party of Nepal (UML),760,Elected
2283,Province 7,Kailali,Lamki Chuha Urban Municipality,Ward President,3,45,M,Nepali Congress,649,Elected
2284,Province 7,Kailali,Lamki Chuha Urban Municipality,Ward Member,3,33,M,Nepali Congress,624,Elected
2285,Province 7,Kailali,Lamki Chuha Urban Municipality,Ward Member,3,43,M,Nepali Congress,562,Elected
2286,Province 7,Kailali,Lamki Chuha Urban Municipality,Female Ward Member,3,31,F,Nepali Congress,670,Elected
2287,Province 7,Kailali,Lamki Chuha Urban Municipality,Dalit Female Ward Member,3,43,F,Nepali Congress,579,Elected
2288,Province 7,Kailali,Lamki Chuha Urban Municipality,Ward President,4,45,M,Communist Party of Nepal (UML),1054,Elected
2289,Province 7,Kailali,Lamki Chuha Urban Municipality,Ward Member,4,39,M,Communist Party of Nepal (UML),1141,Elected
2290,Province 7,Kailali,Lamki Chuha Urban Municipality,Ward Member,4,55,M,Communist Party of Nepal (UML),1097,Elected
2291,Province 7,Kailali,Lamki Chuha Urban Municipality,Female Ward Member,4,32,F,Communist Party of Nepal (UML),1103,Elected
2292,Province 7,Kailali,Lamki Chuha Urban Municipality,Dalit Female Ward Member,4,38,F,Communist Party of Nepal (UML),1106,Elected
2293,Province 7,Kailali,Lamki Chuha Urban Municipality,Ward President,5,36,F,Communist Party of Nepal (Maoist Centre),401,Elected
2294,Province 7,Kailali,Lamki Chuha Urban Municipality,Ward Member,5,41,M,Nepali Congress,454,Elected
2295,Province 7,Kailali,Lamki Chuha Urban Municipality,Ward Member,5,42,M,Communist Party of Nepal (UML),451,Elected
