SN,District,Administrative Division,Position,Ward,Age,Gender,Party,Vote,Status,,
106,Saptari,Khadak Urban Municipality,Dalit Female Ward Member,2,57,F,Communist Party of Nepal (UML),188,Elected,,
107,Saptari,Khadak Urban Municipality,Ward President,3,59,M,Nepali Congress,708,Elected,,
108,Saptari,Khadak Urban Municipality,Ward Member,3,28,F,Nepali Congress,632,Elected,,
109,Saptari,Khadak Urban Municipality,Ward Member,3,79,M,Nepali Congress,553,Elected,,
110,Saptari,Khadak Urban Municipality,Female Ward Member,3,48,F,Nepali Congress,537,Elected,,
111,Saptari,Khadak Urban Municipality,Dalit Female Ward Member,3,55,F,Nepali Congress,555,Elected,,
112,Saptari,Khadak Urban Municipality,Ward President,4,50,M,Nepal Loktantric Forum,521,Elected,,
113,Saptari,Khadak Urban Municipality,Ward Member,4,38,M,Nepal Loktantric Forum,480,Elected,,
114,Saptari,Khadak Urban Municipality,Ward Member,4,50,M,Nepal Loktantric Forum,467,Elected,,
115,Saptari,Khadak Urban Municipality,Female Ward Member,4,29,F,Nepal Loktantric Forum,503,Elected,,
116,Saptari,Khadak Urban Municipality,Dalit Female Ward Member,4,24,F,Nepal Loktantric Forum,471,Elected,,
117,Saptari,Khadak Urban Municipality,Ward President,5,46,M,Communist Party of Nepal (UML),645,Elected,,
118,Saptari,Khadak Urban Municipality,Ward Member,5,62,M,Communist Party of Nepal (UML),620,Elected,,
119,Saptari,Khadak Urban Municipality,Ward Member,5,40,M,Communist Party of Nepal (UML),590,Elected,,
120,Saptari,Khadak Urban Municipality,Female Ward Member,5,55,F,Communist Party of Nepal (UML),661,Elected,,
121,Saptari,Khadak Urban Municipality,Dalit Female Ward Member,5,53,F,Communist Party of Nepal (UML),637,Elected,,
122,Saptari,Khadak Urban Municipality,Ward President,6,43,M,Nepal Loktantric Forum,351,Elected,,
123,Saptari,Khadak Urban Municipality,Ward Member,6,36,F,Nepal Loktantric Forum,224,Elected,,
124,Saptari,Khadak Urban Municipality,Ward Member,6,54,M,Communist Party of Nepal (Maoist Centre),201,Elected,,
125,Saptari,Khadak Urban Municipality,Female Ward Member,6,47,F,Nepal Loktantric Forum,266,Elected,,
126,Saptari,Khadak Urban Municipality,Dalit Female Ward Member,6,53,F,Nepal Loktantric Forum,237,Elected,,
127,Saptari,Khadak Urban Municipality,Ward President,7,26,M,Sanghiya Samajbadi Forum-Nepal (SSFN),285,Elected,,
128,Saptari,Khadak Urban Municipality,Ward Member,7,58,M,Nepali Congress,214,Elected,,
129,Saptari,Khadak Urban Municipality,Ward Member,7,50,M,Sanghiya Samajbadi Forum-Nepal (SSFN),196,Elected,,
130,Saptari,Khadak Urban Municipality,Female Ward Member,7,32,F,Communist Party of Nepal (UML),196,Elected,,
131,Saptari,Khadak Urban Municipality,Dalit Female Ward Member,7,43,F,Sanghiya Samajbadi Forum-Nepal (SSFN),200,Elected,,
132,Saptari,Khadak Urban Municipality,Ward President,8,41,M,Sanghiya Samajbadi Forum-Nepal (SSFN),437,Elected,,
133,Saptari,Khadak Urban Municipality,Ward Member,8,25,M,Sanghiya Samajbadi Forum-Nepal (SSFN),422,Elected,,
134,Saptari,Khadak Urban Municipality,Ward Member,8,45,M,Sanghiya Samajbadi Forum-Nepal (SSFN),402,Elected,,
135,Saptari,Khadak Urban Municipality,Female Ward Member,8,29,F,Sanghiya Samajbadi Forum-Nepal (SSFN),408,Elected,,
136,Saptari,Khadak Urban Municipality,Dalit Female Ward Member,8,46,F,Sanghiya Samajbadi Forum-Nepal (SSFN),424,Elected,,
137,Saptari,Khadak Urban Municipality,Ward President,9,43,M,Nepali Congress,681,Elected,,
138,Saptari,Khadak Urban Municipality,Ward Member,9,52,M,Nepali Congress,555,Elected,,
139,Saptari,Khadak Urban Municipality,Ward Member,9,56,M,Nepali Congress,502,Elected,,
140,Saptari,Khadak Urban Municipality,Female Ward Member,9,35,F,Nepali Congress,628,Elected,,
141,Saptari,Khadak Urban Municipality,Dalit Female Ward Member,9,38,F,Nepali Congress,631,Elected,,
142,Saptari,Khadak Urban Municipality,Ward President,10,51,M,Nepali Congress,560,Elected,,
143,Saptari,Khadak Urban Municipality,Ward Member,10,54,M,Nepali Congress,549,Elected,,
144,Saptari,Khadak Urban Municipality,Ward Member,10,28,M,Nepali Congress,502,Elected,,
145,Saptari,Khadak Urban Municipality,Female Ward Member,10,49,F,Nepali Congress,547,Elected,,
146,Saptari,Khadak Urban Municipality,Dalit Female Ward Member,10,43,F,Nepali Congress,522,Elected,,
147,Saptari,Khadak Urban Municipality,Ward President,11,33,M,Sanghiya Samajbadi Forum-Nepal (SSFN),796,Elected,,
148,Saptari,Khadak Urban Municipality,Ward Member,11,37,M,Sanghiya Samajbadi Forum-Nepal (SSFN),721,Elected,,
149,Saptari,Khadak Urban Municipality,Ward Member,11,68,M,Sanghiya Samajbadi Forum-Nepal (SSFN),703,Elected,,
150,Saptari,Khadak Urban Municipality,Female Ward Member,11,38,F,Sanghiya Samajbadi Forum-Nepal (SSFN),736,Elected,,
151,Saptari,Khadak Urban Municipality,Dalit Female Ward Member,11,45,F,Sanghiya Samajbadi Forum-Nepal (SSFN),732,Elected,,
152,Saptari,Chhinnamasta Rural Municipality,Mayor,,62,M,"Naya Shakti Party, Nepal","2,805",Elected,,
153,Saptari,Chhinnamasta Rural Municipality,Vice-Mayor,,43,F,"Rastriya Janata Party, Nepal","1,710",Elected,,
154,Saptari,Chhinnamasta Rural Municipality,Ward President,1,35,M,Nepal Loktantric Forum,427,Elected,,
155,Saptari,Chhinnamasta Rural Municipality,Ward Member,1,28,M,Nepal Loktantric Forum,420,Elected,,
156,Saptari,Chhinnamasta Rural Municipality,Ward Member,1,64,M,"Rastriya Janata Party, Nepal",384,Elected,,
157,Saptari,Chhinnamasta Rural Municipality,Female Ward Member,1,38,F,"Rastriya Janata Party, Nepal",407,Elected,,
158,Saptari,Chhinnamasta Rural Municipality,Dalit Female Ward Member,1,29,F,Nepal Loktantric Forum,415,Elected,,
159,Saptari,Chhinnamasta Rural Municipality,Ward President,2,45,M,"Naya Shakti Party, Nepal",350,Elected,,
160,Saptari,Chhinnamasta Rural Municipality,Ward Member,2,44,M,"Naya Shakti Party, Nepal",374,Elected,,
161,Saptari,Chhinnamasta Rural Municipality,Ward Member,2,69,M,"Naya Shakti Party, Nepal",347,Elected,,
162,Saptari,Chhinnamasta Rural Municipality,Female Ward Member,2,39,F,"Naya Shakti Party, Nepal",363,Elected,,
163,Saptari,Chhinnamasta Rural Municipality,Dalit Female Ward Member,2,45,F,"Naya Shakti Party, Nepal",375,Elected,,
164,Saptari,Chhinnamasta Rural Municipality,Ward President,3,32,M,Independent,478,Elected,,
165,Saptari,Chhinnamasta Rural Municipality,Ward Member,3,35,M,"Rastriya Janata Party, Nepal",435,Elected,,
166,Saptari,Chhinnamasta Rural Municipality,Ward Member,3,63,M,"Rastriya Janata Party, Nepal",356,Elected,,
167,Saptari,Chhinnamasta Rural Municipality,Female Ward Member,3,49,F,"Rastriya Janata Party, Nepal",397,Elected,,
168,Saptari,Chhinnamasta Rural Municipality,Dalit Female Ward Member,3,55,F,"Rastriya Janata Party, Nepal",401,Elected,,
169,Saptari,Chhinnamasta Rural Municipality,Ward President,4,55,M,Nepali Congress,302,Elected,,
170,Saptari,Chhinnamasta Rural Municipality,Ward Member,4,69,M,Nepali Congress,307,Elected,,
171,Saptari,Chhinnamasta Rural Municipality,Ward Member,4,44,M,Communist Party of Nepal (Maoist Centre),295,Elected,,
172,Saptari,Chhinnamasta Rural Municipality,Female Ward Member,4,42,F,Nepali Congress,314,Elected,,
173,Saptari,Chhinnamasta Rural Municipality,Dalit Female Ward Member,4,48,F,Nepali Congress,349,Elected,,
174,Saptari,Chhinnamasta Rural Municipality,Ward President,5,35,M,Communist Party of Nepal (Maoist Centre),338,Elected,,
175,Saptari,Chhinnamasta Rural Municipality,Ward Member,5,50,M,Communist Party of Nepal (Maoist Centre),318,Elected,,
176,Saptari,Chhinnamasta Rural Municipality,Ward Member,5,63,M,Communist Party of Nepal (Maoist Centre),290,Elected,,
177,Saptari,Chhinnamasta Rural Municipality,Female Ward Member,5,39,F,Communist Party of Nepal (Maoist Centre),325,Elected,,
178,Saptari,Chhinnamasta Rural Municipality,Dalit Female Ward Member,5,68,F,Communist Party of Nepal (Maoist Centre),323,Elected,,
179,Saptari,Chhinnamasta Rural Municipality,Ward President,6,40,M,"Naya Shakti Party, Nepal",443,Elected,,
180,Saptari,Chhinnamasta Rural Municipality,Ward Member,6,33,M,"Naya Shakti Party, Nepal",388,Elected,,
