SN,District,Administrative Division,Position,Ward,Age,Gender,Party,Vote,Status,,
3032,Mohattari,Mitihani Urban Municipality,Ward President,6,39,M,"Rastriya Janata Party, Nepal",323,Elected,,
3033,Mohattari,Mitihani Urban Municipality,Ward Member,6,36,M,"Rastriya Janata Party, Nepal",337,Elected,,
3034,Mohattari,Mitihani Urban Municipality,Ward Member,6,32,M,"Rastriya Janata Party, Nepal",325,Elected,,
3035,Mohattari,Mitihani Urban Municipality,Female Ward Member,6,53,F,"Rastriya Janata Party, Nepal",343,Elected,,
3036,Mohattari,Mitihani Urban Municipality,Dalit Female Ward Member,6,64,F,"Rastriya Janata Party, Nepal",337,Elected,,
3037,Mohattari,Mitihani Urban Municipality,Ward President,7,31,M,"Rastriya Janata Party, Nepal",861,Elected,,
3038,Mohattari,Mitihani Urban Municipality,Ward Member,7,47,M,"Rastriya Janata Party, Nepal",843,Elected,,
3039,Mohattari,Mitihani Urban Municipality,Ward Member,7,32,F,"Rastriya Janata Party, Nepal",831,Elected,,
3040,Mohattari,Mitihani Urban Municipality,Female Ward Member,7,57,F,"Rastriya Janata Party, Nepal",870,Elected,,
3041,Mohattari,Mitihani Urban Municipality,Dalit Female Ward Member,7,44,F,"Rastriya Janata Party, Nepal",871,Elected,,
3042,Mohattari,Mitihani Urban Municipality,Ward President,8,61,M,"Rastriya Janata Party, Nepal",503,Elected,,
3043,Mohattari,Mitihani Urban Municipality,Ward Member,8,43,M,"Rastriya Janata Party, Nepal",546,Elected,,
3044,Mohattari,Mitihani Urban Municipality,Ward Member,8,31,M,"Rastriya Janata Party, Nepal",536,Elected,,
3045,Mohattari,Mitihani Urban Municipality,Female Ward Member,8,26,F,"Rastriya Janata Party, Nepal",563,Elected,,
3046,Mohattari,Mitihani Urban Municipality,Dalit Female Ward Member,8,54,F,"Rastriya Janata Party, Nepal",578,Elected,,
3047,Mohattari,Mitihani Urban Municipality,Ward President,9,60,M,Communist Party of Nepal (Maoist Centre),543,Elected,,
3048,Mohattari,Mitihani Urban Municipality,Ward Member,9,51,M,Nepali Congress,492,Elected,,
3049,Mohattari,Mitihani Urban Municipality,Ward Member,9,46,M,Nepali Congress,479,Elected,,
3050,Mohattari,Mitihani Urban Municipality,Female Ward Member,9,61,F,Communist Party of Nepal (Maoist Centre),500,Elected,,
3051,Mohattari,Mitihani Urban Municipality,Dalit Female Ward Member,9,58,F,Communist Party of Nepal (Maoist Centre),484,Elected,,
3052,Mohattari,Manara Sisaba Urban Municipality,Mayor,,48,M,"Rastriya Janata Party, Nepal","4,239",Elected,,
3053,Mohattari,Manara Sisaba Urban Municipality,Vice Mayor,,33,F,"Rastriya Janata Party, Nepal","4,053",Elected,,
3054,Mohattari,Manara Sisaba Urban Municipality,Ward President,1,41,M,"Rastriya Janata Party, Nepal",512,Elected,,
3055,Mohattari,Manara Sisaba Urban Municipality,Ward Member,1,41,M,"Rastriya Janata Party, Nepal",606,Elected,,
3056,Mohattari,Manara Sisaba Urban Municipality,Ward Member,1,36,M,"Rastriya Janata Party, Nepal",581,Elected,,
3057,Mohattari,Manara Sisaba Urban Municipality,Female Ward Member,1,67,F,"Rastriya Janata Party, Nepal",627,Elected,,
3058,Mohattari,Manara Sisaba Urban Municipality,Dalit Female Ward Member,1,34,F,"Rastriya Janata Party, Nepal",630,Elected,,
3059,Mohattari,Manara Sisaba Urban Municipality,Ward President,2,46,M,"Rastriya Janata Party, Nepal",544,Elected,,
3060,Mohattari,Manara Sisaba Urban Municipality,Ward Member,2,45,M,"Rastriya Janata Party, Nepal",694,Elected,,
3061,Mohattari,Manara Sisaba Urban Municipality,Ward Member,2,59,M,"Rastriya Janata Party, Nepal",617,Elected,,
3062,Mohattari,Manara Sisaba Urban Municipality,Female Ward Member,2,44,F,"Rastriya Janata Party, Nepal",690,Elected,,
3063,Mohattari,Manara Sisaba Urban Municipality,Dalit Female Ward Member,2,50,F,"Rastriya Janata Party, Nepal",720,Elected,,
3064,Mohattari,Manara Sisaba Urban Municipality,Ward President,3,49,M,Sanghiya Samajbadi Forum-Nepal (SSFN),501,Elected,,
3065,Mohattari,Manara Sisaba Urban Municipality,Ward Member,3,57,M,Sanghiya Samajbadi Forum-Nepal (SSFN),483,Elected,,
3066,Mohattari,Manara Sisaba Urban Municipality,Ward Member,3,43,M,Sanghiya Samajbadi Forum-Nepal (SSFN),478,Elected,,
3067,Mohattari,Manara Sisaba Urban Municipality,Female Ward Member,3,38,F,Sanghiya Samajbadi Forum-Nepal (SSFN),498,Elected,,
3068,Mohattari,Manara Sisaba Urban Municipality,Dalit Female Ward Member,3,34,F,Sanghiya Samajbadi Forum-Nepal (SSFN),501,Elected,,
3069,Mohattari,Manara Sisaba Urban Municipality,Ward President,4,40,M,"Rastriya Janata Party, Nepal",396,Elected,,
3070,Mohattari,Manara Sisaba Urban Municipality,Ward Member,4,48,M,"Rastriya Janata Party, Nepal",413,Elected,,
3071,Mohattari,Manara Sisaba Urban Municipality,Ward Member,4,24,M,"Rastriya Janata Party, Nepal",378,Elected,,
3072,Mohattari,Manara Sisaba Urban Municipality,Female Ward Member,4,44,F,"Rastriya Janata Party, Nepal",408,Elected,,
3073,Mohattari,Manara Sisaba Urban Municipality,Dalit Female Ward Member,4,55,F,"Rastriya Janata Party, Nepal",435,Elected,,
3074,Mohattari,Manara Sisaba Urban Municipality,Ward President,5,64,M,Sanghiya Samajbadi Forum-Nepal (SSFN),725,Elected,,
3075,Mohattari,Manara Sisaba Urban Municipality,Ward Member,5,36,M,Sanghiya Samajbadi Forum-Nepal (SSFN),754,Elected,,
3076,Mohattari,Manara Sisaba Urban Municipality,Ward Member,5,49,M,Sanghiya Samajbadi Forum-Nepal (SSFN),722,Elected,,
3077,Mohattari,Manara Sisaba Urban Municipality,Female Ward Member,5,79,F,Sanghiya Samajbadi Forum-Nepal (SSFN),753,Elected,,
3078,Mohattari,Manara Sisaba Urban Municipality,Dalit Female Ward Member,5,64,F,Sanghiya Samajbadi Forum-Nepal (SSFN),755,Elected,,
3079,Mohattari,Manara Sisaba Urban Municipality,Ward President,6,41,M,"Naya Shakti Party, Nepal",616,Elected,,
3080,Mohattari,Manara Sisaba Urban Municipality,Ward Member,6,60,M,"Naya Shakti Party, Nepal",555,Elected,,
3081,Mohattari,Manara Sisaba Urban Municipality,Ward Member,6,39,M,"Naya Shakti Party, Nepal",515,Elected,,
3082,Mohattari,Manara Sisaba Urban Municipality,Female Ward Member,6,43,F,"Naya Shakti Party, Nepal",559,Elected,,
3083,Mohattari,Manara Sisaba Urban Municipality,Dalit Female Ward Member,6,32,F,"Naya Shakti Party, Nepal",571,Elected,,
3084,Mohattari,Manara Sisaba Urban Municipality,Ward President,7,63,M,"Rastriya Janata Party, Nepal",314,Elected,,
3085,Mohattari,Manara Sisaba Urban Municipality,Ward Member,7,45,M,"Rastriya Janata Party, Nepal",293,Elected,,
3086,Mohattari,Manara Sisaba Urban Municipality,Ward Member,7,65,M,"Rastriya Janata Party, Nepal",287,Elected,,
3087,Mohattari,Manara Sisaba Urban Municipality,Female Ward Member,7,33,F,"Rastriya Janata Party, Nepal",319,Elected,,
3088,Mohattari,Manara Sisaba Urban Municipality,Dalit Female Ward Member,7,58,F,"Rastriya Janata Party, Nepal",315,Elected,,
3089,Mohattari,Manara Sisaba Urban Municipality,Ward President,8,43,M,"Rastriya Janata Party, Nepal",274,Elected,,
3090,Mohattari,Manara Sisaba Urban Municipality,Ward Member,8,49,M,"Rastriya Janata Party, Nepal",250,Elected,,
3091,Mohattari,Manara Sisaba Urban Municipality,Ward Member,8,54,M,"Rastriya Janata Party, Nepal",241,Elected,,
3092,Mohattari,Manara Sisaba Urban Municipality,Female Ward Member,8,35,F,"Rastriya Janata Party, Nepal",253,Elected,,
3093,Mohattari,Manara Sisaba Urban Municipality,Dalit Female Ward Member,8,36,F,Nepali Congress,0,Unopposed,,
3094,Mohattari,Manara Sisaba Urban Municipality,Ward President,9,47,M,Nepali Congress,314,Elected,,
3095,Mohattari,Manara Sisaba Urban Municipality,Ward Member,9,63,M,Nepali Congress,359,Elected,,
3096,Mohattari,Manara Sisaba Urban Municipality,Ward Member,9,48,M,"Rastriya Janata Party, Nepal",329,Elected,,
3097,Mohattari,Manara Sisaba Urban Municipality,Female Ward Member,9,37,F,"Rastriya Janata Party, Nepal",340,Elected,,
3098,Mohattari,Manara Sisaba Urban Municipality,Dalit Female Ward Member,9,41,F,"Rastriya Janata Party, Nepal",341,Elected,,
3099,Mohattari,Manara Sisaba Urban Municipality,Ward President,10,50,M,Nepali Congress,267,Elected,,
3100,Mohattari,Manara Sisaba Urban Municipality,Ward Member,10,40,M,"Rastriya Janata Party, Nepal",264,Elected,,
3101,Mohattari,Manara Sisaba Urban Municipality,Ward Member,10,53,M,"Rastriya Janata Party, Nepal",200,Elected,,
3102,Mohattari,Manara Sisaba Urban Municipality,Female Ward Member,10,43,F,"Rastriya Janata Party, Nepal",220,Elected,,
3103,Mohattari,Manara Sisaba Urban Municipality,Dalit Female Ward Member,10,51,F,"Rastriya Janata Party, Nepal",218,Elected,,
3104,Mohattari,Mohattari Rural Municipality,Mayor,,47,M,"Rastriya Janata Party, Nepal","2,751",Elected,,
3105,Mohattari,Mohattari Rural Municipality,Vice-Mayor,,31,F,"Rastriya Janata Party, Nepal","2,619",Elected,,
3106,Mohattari,Mohattari Rural Municipality,Ward President,1,39,M,"Rastriya Janata Party, Nepal",641,Elected,,
3107,Mohattari,Mohattari Rural Municipality,Ward Member,1,53,M,"Rastriya Janata Party, Nepal",634,Elected,,
3108,Mohattari,Mohattari Rural Municipality,Ward Member,1,51,M,"Rastriya Janata Party, Nepal",574,Elected,,
3109,Mohattari,Mohattari Rural Municipality,Female Ward Member,1,52,F,"Rastriya Janata Party, Nepal",660,Elected,,
3110,Mohattari,Mohattari Rural Municipality,Dalit Female Ward Member,1,34,F,"Rastriya Janata Party, Nepal",661,Elected,,
3111,Mohattari,Mohattari Rural Municipality,Ward President,2,43,M,"Rastriya Janata Party, Nepal",371,Elected,,
3112,Mohattari,Mohattari Rural Municipality,Ward Member,2,42,M,"Rastriya Janata Party, Nepal",439,Elected,,
3113,Mohattari,Mohattari Rural Municipality,Ward Member,2,66,M,"Rastriya Janata Party, Nepal",439,Elected,,
3114,Mohattari,Mohattari Rural Municipality,Female Ward Member,2,52,F,"Rastriya Janata Party, Nepal",464,Elected,,
3115,Mohattari,Mohattari Rural Municipality,Dalit Female Ward Member,2,56,F,"Rastriya Janata Party, Nepal",478,Elected,,
3116,Mohattari,Mohattari Rural Municipality,Ward President,3,41,M,"Rastriya Janata Party, Nepal",459,Elected,,
3117,Mohattari,Mohattari Rural Municipality,Ward Member,3,52,M,"Rastriya Janata Party, Nepal",395,Elected,,
3118,Mohattari,Mohattari Rural Municipality,Ward Member,3,54,M,"Rastriya Janata Party, Nepal",362,Elected,,
3119,Mohattari,Mohattari Rural Municipality,Female Ward Member,3,42,F,"Rastriya Janata Party, Nepal",412,Elected,,
3120,Mohattari,Mohattari Rural Municipality,Dalit Female Ward Member,3,62,F,"Rastriya Janata Party, Nepal",401,Elected,,
3121,Mohattari,Mohattari Rural Municipality,Ward President,4,37,M,"Rastriya Janata Party, Nepal",347,Elected,,
3122,Mohattari,Mohattari Rural Municipality,Ward Member,4,66,M,"Rastriya Janata Party, Nepal",314,Elected,,
3123,Mohattari,Mohattari Rural Municipality,Ward Member,4,55,M,"Rastriya Janata Party, Nepal",296,Elected,,
3124,Mohattari,Mohattari Rural Municipality,Female Ward Member,4,50,F,"Rastriya Janata Party, Nepal",328,Elected,,
3125,Mohattari,Mohattari Rural Municipality,Dalit Female Ward Member,4,68,F,"Rastriya Janata Party, Nepal",335,Elected,,
3126,Mohattari,Mohattari Rural Municipality,Ward President,5,68,M,"Rastriya Janata Party, Nepal",368,Elected,,
3127,Mohattari,Mohattari Rural Municipality,Ward Member,5,36,M,"Rastriya Janata Party, Nepal",358,Elected,,
3128,Mohattari,Mohattari Rural Municipality,Ward Member,5,32,M,"Rastriya Janata Party, Nepal",329,Elected,,
3129,Mohattari,Mohattari Rural Municipality,Female Ward Member,5,44,F,"Rastriya Janata Party, Nepal",367,Elected,,
3130,Mohattari,Mohattari Rural Municipality,Dalit Female Ward Member,5,62,F,"Rastriya Janata Party, Nepal",354,Elected,,
3131,Mohattari,Mohattari Rural Municipality,Ward President,6,62,M,Sanghiya Samajbadi Forum-Nepal (SSFN),422,Elected,,
3132,Mohattari,Mohattari Rural Municipality,Ward Member,6,48,M,Sanghiya Samajbadi Forum-Nepal (SSFN),403,Elected,,
3133,Mohattari,Mohattari Rural Municipality,Ward Member,6,50,M,Sanghiya Samajbadi Forum-Nepal (SSFN),402,Elected,,
3134,Mohattari,Mohattari Rural Municipality,Female Ward Member,6,51,F,Sanghiya Samajbadi Forum-Nepal (SSFN),403,Elected,,
3135,Mohattari,Mohattari Rural Municipality,Dalit Female Ward Member,6,39,F,Sanghiya Samajbadi Forum-Nepal (SSFN),404,Elected,,
3136,Mohattari,Ramgopalpur Urban Municipality,Mayor,,45,M,Communist Party of Nepal (Maoist Centre),"2,944",Elected,,
3137,Mohattari,Ramgopalpur Urban Municipality,Vice Mayor,,44,F,Communist Party of Nepal (Maoist Centre),"2,891",Elected,,
3138,Mohattari,Ramgopalpur Urban Municipality,Ward President,1,46,M,Communist Party of Nepal (UML),296,Elected,,
3139,Mohattari,Ramgopalpur Urban Municipality,Ward Member,1,34,M,Communist Party of Nepal (UML),310,Elected,,
3140,Mohattari,Ramgopalpur Urban Municipality,Ward Member,1,53,M,Communist Party of Nepal (UML),305,Elected,,
3141,Mohattari,Ramgopalpur Urban Municipality,Female Ward Member,1,47,F,Communist Party of Nepal (UML),334,Elected,,
3142,Mohattari,Ramgopalpur Urban Municipality,Dalit Female Ward Member,1,66,F,Communist Party of Nepal (UML),314,Elected,,
3143,Mohattari,Ramgopalpur Urban Municipality,Ward President,2,59,M,Nepali Congress,373,Elected,,
3144,Mohattari,Ramgopalpur Urban Municipality,Ward Member,2,49,M,Nepali Congress,359,Elected,,
3145,Mohattari,Ramgopalpur Urban Municipality,Ward Member,2,48,M,Nepali Congress,350,Elected,,
3146,Mohattari,Ramgopalpur Urban Municipality,Female Ward Member,2,75,F,Nepali Congress,350,Elected,,
3147,Mohattari,Ramgopalpur Urban Municipality,Dalit Female Ward Member,2,35,F,Nepali Congress,359,Elected,,
3148,Mohattari,Ramgopalpur Urban Municipality,Ward President,3,43,M,Nepali Congress,271,Elected,,
3149,Mohattari,Ramgopalpur Urban Municipality,Ward Member,3,39,M,Communist Party of Nepal (Maoist Centre),240,Elected,,
3150,Mohattari,Ramgopalpur Urban Municipality,Ward Member,3,32,M,Communist Party of Nepal (Maoist Centre),239,Elected,,
3151,Mohattari,Ramgopalpur Urban Municipality,Female Ward Member,3,30,F,Communist Party of Nepal (Maoist Centre),242,Elected,,
3152,Mohattari,Ramgopalpur Urban Municipality,Dalit Female Ward Member,3,53,F,Communist Party of Nepal (Maoist Centre),245,Elected,,
3153,Mohattari,Ramgopalpur Urban Municipality,Ward President,4,35,M,Nepali Congress,430,Elected,,
3154,Mohattari,Ramgopalpur Urban Municipality,Ward Member,4,56,M,Communist Party of Nepal (Maoist Centre),342,Elected,,
3155,Mohattari,Ramgopalpur Urban Municipality,Ward Member,4,28,M,Communist Party of Nepal (Maoist Centre),324,Elected,,
3156,Mohattari,Ramgopalpur Urban Municipality,Female Ward Member,4,34,F,Communist Party of Nepal (Maoist Centre),349,Elected,,
3157,Mohattari,Ramgopalpur Urban Municipality,Dalit Female Ward Member,4,36,F,Communist Party of Nepal (Maoist Centre),357,Elected,,
3158,Mohattari,Ramgopalpur Urban Municipality,Ward President,5,35,M,Independent,275,Elected,,
3159,Mohattari,Ramgopalpur Urban Municipality,Ward Member,5,49,M,Communist Party of Nepal (UML),281,Elected,,
3160,Mohattari,Ramgopalpur Urban Municipality,Ward Member,5,64,M,Communist Party of Nepal (UML),277,Elected,,
3161,Mohattari,Ramgopalpur Urban Municipality,Female Ward Member,5,37,F,Communist Party of Nepal (UML),304,Elected,,
3162,Mohattari,Ramgopalpur Urban Municipality,Dalit Female Ward Member,5,38,F,Communist Party of Nepal (UML),293,Elected,,
3163,Mohattari,Ramgopalpur Urban Municipality,Ward President,6,59,M,Nepali Congress,351,Elected,,
3164,Mohattari,Ramgopalpur Urban Municipality,Ward Member,6,73,M,Nepali Congress,327,Elected,,
3165,Mohattari,Ramgopalpur Urban Municipality,Ward Member,6,30,M,Nepali Congress,311,Elected,,
3166,Mohattari,Ramgopalpur Urban Municipality,Female Ward Member,6,40,F,Nepali Congress,336,Elected,,
3167,Mohattari,Ramgopalpur Urban Municipality,Dalit Female Ward Member,6,35,F,Nepali Congress,339,Elected,,
3168,Mohattari,Ramgopalpur Urban Municipality,Ward President,7,34,M,Communist Party of Nepal (UML),323,Elected,,
3169,Mohattari,Ramgopalpur Urban Municipality,Ward Member,7,48,M,Communist Party of Nepal (UML),295,Elected,,
3170,Mohattari,Ramgopalpur Urban Municipality,Ward Member,7,66,M,Communist Party of Nepal (UML),287,Elected,,
3171,Mohattari,Ramgopalpur Urban Municipality,Female Ward Member,7,30,F,Communist Party of Nepal (UML),305,Elected,,
3172,Mohattari,Ramgopalpur Urban Municipality,Dalit Female Ward Member,7,32,F,Communist Party of Nepal (UML),300,Elected,,
3173,Mohattari,Ramgopalpur Urban Municipality,Ward President,8,72,M,Communist Party of Nepal (Maoist Centre),645,Elected,,
3174,Mohattari,Ramgopalpur Urban Municipality,Ward Member,8,40,M,Communist Party of Nepal (Maoist Centre),649,Elected,,
3175,Mohattari,Ramgopalpur Urban Municipality,Ward Member,8,59,M,Communist Party of Nepal (Maoist Centre),632,Elected,,
3176,Mohattari,Ramgopalpur Urban Municipality,Female Ward Member,8,52,F,Communist Party of Nepal (Maoist Centre),651,Elected,,
3177,Mohattari,Ramgopalpur Urban Municipality,Dalit Female Ward Member,8,29,F,Communist Party of Nepal (Maoist Centre),654,Elected,,
3178,Mohattari,Ramgopalpur Urban Municipality,Ward President,9,60,M,Nepali Congress,710,Elected,,
3179,Mohattari,Ramgopalpur Urban Municipality,Ward Member,9,48,M,Nepali Congress,652,Elected,,
3180,Mohattari,Ramgopalpur Urban Municipality,Ward Member,9,52,M,Nepali Congress,647,Elected,,
3181,Mohattari,Ramgopalpur Urban Municipality,Female Ward Member,9,28,F,Nepali Congress,648,Elected,,
3182,Mohattari,Ramgopalpur Urban Municipality,Dalit Female Ward Member,9,31,F,Nepali Congress,664,Elected,,
3183,Mohattari,Loharpatti Urban Municipality,Mayor,,35,M,Nepali Congress,"4,523",Elected,,
3184,Mohattari,Loharpatti Urban Municipality,Vice Mayor,,52,F,Nepali Congress,"4,592",Elected,,
3185,Mohattari,Loharpatti Urban Municipality,Ward President,1,45,M,Nepali Congress,670,Elected,,
3186,Mohattari,Loharpatti Urban Municipality,Ward Member,1,63,M,Nepali Congress,642,Elected,,
3187,Mohattari,Loharpatti Urban Municipality,Ward Member,1,53,M,Nepali Congress,633,Elected,,
3188,Mohattari,Loharpatti Urban Municipality,Female Ward Member,1,35,F,Nepali Congress,691,Elected,,
3189,Mohattari,Loharpatti Urban Municipality,Dalit Female Ward Member,1,56,F,Nepali Congress,686,Elected,,
3190,Mohattari,Loharpatti Urban Municipality,Ward President,2,50,M,Nepali Congress,432,Elected,,
3191,Mohattari,Loharpatti Urban Municipality,Ward Member,2,61,M,Nepali Congress,401,Elected,,
3192,Mohattari,Loharpatti Urban Municipality,Ward Member,2,60,M,Nepali Congress,398,Elected,,
3193,Mohattari,Loharpatti Urban Municipality,Female Ward Member,2,53,F,Nepali Congress,428,Elected,,
3194,Mohattari,Loharpatti Urban Municipality,Dalit Female Ward Member,2,45,F,Nepali Congress,410,Elected,,
3195,Mohattari,Loharpatti Urban Municipality,Ward President,3,43,M,Nepali Congress,643,Elected,,
3196,Mohattari,Loharpatti Urban Municipality,Ward Member,3,52,M,Nepali Congress,659,Elected,,
3197,Mohattari,Loharpatti Urban Municipality,Ward Member,3,66,M,Nepali Congress,516,Elected,,
3198,Mohattari,Loharpatti Urban Municipality,Female Ward Member,3,59,F,Nepali Congress,660,Elected,,
3199,Mohattari,Loharpatti Urban Municipality,Dalit Female Ward Member,3,63,F,Nepali Congress,658,Elected,,
3200,Mohattari,Loharpatti Urban Municipality,Ward President,4,29,M,Communist Party of Nepal (UML),794,Elected,,
3201,Mohattari,Loharpatti Urban Municipality,Ward Member,4,48,M,Communist Party of Nepal (UML),684,Elected,,
3202,Mohattari,Loharpatti Urban Municipality,Ward Member,4,75,M,Communist Party of Nepal (UML),614,Elected,,
3203,Mohattari,Loharpatti Urban Municipality,Female Ward Member,4,31,F,Communist Party of Nepal (UML),684,Elected,,
3204,Mohattari,Loharpatti Urban Municipality,Dalit Female Ward Member,4,43,F,Communist Party of Nepal (UML),666,Elected,,
3205,Mohattari,Loharpatti Urban Municipality,Ward President,5,74,M,Nepali Congress,392,Elected,,
3206,Mohattari,Loharpatti Urban Municipality,Ward Member,5,35,M,"Rastriya Janata Party, Nepal",386,Elected,,
3207,Mohattari,Loharpatti Urban Municipality,Ward Member,5,50,M,"Rastriya Janata Party, Nepal",364,Elected,,
3208,Mohattari,Loharpatti Urban Municipality,Female Ward Member,5,47,F,"Rastriya Janata Party, Nepal",388,Elected,,
3209,Mohattari,Loharpatti Urban Municipality,Dalit Female Ward Member,5,40,F,"Rastriya Janata Party, Nepal",382,Elected,,
3210,Mohattari,Loharpatti Urban Municipality,Ward President,6,38,M,Nepali Congress,603,Elected,,
3211,Mohattari,Loharpatti Urban Municipality,Ward Member,6,42,M,Nepali Congress,578,Elected,,
3212,Mohattari,Loharpatti Urban Municipality,Ward Member,6,45,M,Nepali Congress,477,Elected,,
3213,Mohattari,Loharpatti Urban Municipality,Female Ward Member,6,50,F,Nepali Congress,500,Elected,,
3214,Mohattari,Loharpatti Urban Municipality,Dalit Female Ward Member,6,44,F,"Rastriya Janata Party, Nepal",500,Elected,,
3215,Mohattari,Loharpatti Urban Municipality,Ward President,7,48,M,"Rastriya Janata Party, Nepal",780,Elected,,
3216,Mohattari,Loharpatti Urban Municipality,Ward Member,7,45,M,"Rastriya Janata Party, Nepal",740,Elected,,
3217,Mohattari,Loharpatti Urban Municipality,Ward Member,7,51,M,"Rastriya Janata Party, Nepal",696,Elected,,
3218,Mohattari,Loharpatti Urban Municipality,Female Ward Member,7,32,F,"Rastriya Janata Party, Nepal",760,Elected,,
3219,Mohattari,Loharpatti Urban Municipality,Dalit Female Ward Member,7,56,F,"Rastriya Janata Party, Nepal",763,Elected,,
3220,Mohattari,Loharpatti Urban Municipality,Ward President,8,45,M,Nepali Congress,435,Elected,,
3221,Mohattari,Loharpatti Urban Municipality,Ward Member,8,44,M,Nepali Congress,455,Elected,,
3222,Mohattari,Loharpatti Urban Municipality,Ward Member,8,59,M,Nepali Congress,429,Elected,,
3223,Mohattari,Loharpatti Urban Municipality,Female Ward Member,8,41,F,Nepali Congress,450,Elected,,
3224,Mohattari,Loharpatti Urban Municipality,Dalit Female Ward Member,8,45,F,Nepali Congress,454,Elected,,
3225,Mohattari,Loharpatti Urban Municipality,Ward President,9,50,M,Nepali Congress,312,Elected,,
3226,Mohattari,Loharpatti Urban Municipality,Ward Member,9,68,M,Nepali Congress,306,Elected,,
3227,Mohattari,Loharpatti Urban Municipality,Ward Member,9,58,M,Sanghiya Samajbadi Forum-Nepal (SSFN),305,Elected,,
3228,Mohattari,Loharpatti Urban Municipality,Female Ward Member,9,45,F,Sanghiya Samajbadi Forum-Nepal (SSFN),307,Elected,,
3229,Mohattari,Loharpatti Urban Municipality,Dalit Female Ward Member,9,57,F,Sanghiya Samajbadi Forum-Nepal (SSFN),309,Elected,,
3230,Mohattari,Samsi Rural Municipality,Mayor,,46,M,Communist Party of Nepal (Maoist Centre),"2,338",Elected,,
3231,Mohattari,Samsi Rural Municipality,Vice-Mayor,,34,F,Communist Party of Nepal (Maoist Centre),"2,234",Elected,,
3232,Mohattari,Samsi Rural Municipality,Ward President,1,34,M,Nepali Congress,392,Elected,,
3233,Mohattari,Samsi Rural Municipality,Ward Member,1,46,F,Nepali Congress,387,Elected,,
3234,Mohattari,Samsi Rural Municipality,Ward Member,1,45,M,Nepali Congress,381,Elected,,
3235,Mohattari,Samsi Rural Municipality,Female Ward Member,1,29,F,Nepali Congress,404,Elected,,
3236,Mohattari,Samsi Rural Municipality,Dalit Female Ward Member,1,31,F,Nepali Congress,411,Elected,,
3237,Mohattari,Samsi Rural Municipality,Ward President,2,54,M,Communist Party of Nepal (Maoist Centre),747,Elected,,
3238,Mohattari,Samsi Rural Municipality,Ward Member,2,29,M,Communist Party of Nepal (Maoist Centre),846,Elected,,
3239,Mohattari,Samsi Rural Municipality,Ward Member,2,65,M,Communist Party of Nepal (Maoist Centre),769,Elected,,
3240,Mohattari,Samsi Rural Municipality,Female Ward Member,2,53,F,Communist Party of Nepal (Maoist Centre),857,Elected,,
3241,Mohattari,Samsi Rural Municipality,Dalit Female Ward Member,2,46,F,Communist Party of Nepal (Maoist Centre),877,Elected,,
3242,Mohattari,Samsi Rural Municipality,Ward President,3,53,M,Communist Party of Nepal (Maoist Centre),508,Elected,,
3243,Mohattari,Samsi Rural Municipality,Ward Member,3,61,M,Communist Party of Nepal (Maoist Centre),480,Elected,,
3244,Mohattari,Samsi Rural Municipality,Ward Member,3,68,M,Communist Party of Nepal (Maoist Centre),450,Elected,,
3245,Mohattari,Samsi Rural Municipality,Female Ward Member,3,57,F,Communist Party of Nepal (Maoist Centre),489,Elected,,
3246,Mohattari,Samsi Rural Municipality,Dalit Female Ward Member,3,52,F,Communist Party of Nepal (Maoist Centre),507,Elected,,
3247,Mohattari,Samsi Rural Municipality,Ward President,4,37,M,Nepali Congress,587,Elected,,
3248,Mohattari,Samsi Rural Municipality,Ward Member,4,44,M,Nepali Congress,525,Elected,,
3249,Mohattari,Samsi Rural Municipality,Ward Member,4,24,M,Nepali Congress,504,Elected,,
3250,Mohattari,Samsi Rural Municipality,Female Ward Member,4,37,F,Nepali Congress,534,Elected,,
3251,Mohattari,Samsi Rural Municipality,Dalit Female Ward Member,4,67,F,Nepali Congress,530,Elected,,
3252,Mohattari,Samsi Rural Municipality,Ward President,5,65,M,Sanghiya Samajbadi Forum-Nepal (SSFN),409,Elected,,
3253,Mohattari,Samsi Rural Municipality,Ward Member,5,52,M,Sanghiya Samajbadi Forum-Nepal (SSFN),616,Elected,,
3254,Mohattari,Samsi Rural Municipality,Ward Member,5,49,M,Sanghiya Samajbadi Forum-Nepal (SSFN),552,Elected,,
3255,Mohattari,Samsi Rural Municipality,Female Ward Member,5,54,F,Sanghiya Samajbadi Forum-Nepal (SSFN),576,Elected,,
3256,Mohattari,Samsi Rural Municipality,Dalit Female Ward Member,5,32,F,Sanghiya Samajbadi Forum-Nepal (SSFN),594,Elected,,
3257,Mohattari,Samsi Rural Municipality,Ward President,6,47,M,Communist Party of Nepal (Maoist Centre),364,Elected,,
3258,Mohattari,Samsi Rural Municipality,Ward Member,6,46,M,Communist Party of Nepal (Maoist Centre),353,Elected,,
3259,Mohattari,Samsi Rural Municipality,Ward Member,6,44,M,Communist Party of Nepal (Maoist Centre),344,Elected,,
3260,Mohattari,Samsi Rural Municipality,Female Ward Member,6,38,F,Communist Party of Nepal (Maoist Centre),374,Elected,,
3261,Mohattari,Samsi Rural Municipality,Dalit Female Ward Member,6,33,F,Communist Party of Nepal (Maoist Centre),375,Elected,,
3262,Mohattari,Samsi Rural Municipality,Ward President,7,45,M,Sanghiya Samajbadi Forum-Nepal (SSFN),361,Elected,,
