SN,District,Administrative Division,Position,Ward,Name,Age,Gender,Party,Votes,Status
896,Sindhuli,Tinpatan Rural Municipality,Dalit Female Ward Member,7,तलुसा क्रर्.क.,38,F,Communist Party of Nepal (UML),505,Elected
897,Sindhuli,Tinpatan Rural Municipality,Ward President,8,िेख िाज अनधकािी,53,M,Communist Party of Nepal (UML),616,Elected
898,Sindhuli,Tinpatan Rural Municipality,Ward Member,8,फणीतर नाथ अनधकािी,47,M,Communist Party of Nepal (UML),602,Elected
899,Sindhuli,Tinpatan Rural Municipality,Ward Member,8,इतर बहादिु तामाङ,25,M,Communist Party of Nepal (UML),594,Elected
900,Sindhuli,Tinpatan Rural Municipality,Female Ward Member,8,गीता माया थापा मगि,32,F,Communist Party of Nepal (UML),585,Elected
901,Sindhuli,Tinpatan Rural Municipality,Dalit Female Ward Member,8,झल माया साकी,32,F,Communist Party of Nepal (UML),595,Elected
902,Sindhuli,Tinpatan Rural Municipality,Ward President,9,शेि र्हादिु मगि,56,M,Communist Party of Nepal (UML),605,Elected
903,Sindhuli,Tinpatan Rural Municipality,Ward Member,9,खड्ग र्हादिु िमौली,42,M,Communist Party of Nepal (UML),601,Elected
904,Sindhuli,Tinpatan Rural Municipality,Ward Member,9,हेम र्हादिु मगि,35,M,Communist Party of Nepal (UML),592,Elected
905,Sindhuli,Tinpatan Rural Municipality,Female Ward Member,9,यम कुमािी मगि,40,F,Communist Party of Nepal (UML),612,Elected
906,Sindhuli,Tinpatan Rural Municipality,Dalit Female Ward Member,9,फुल कुमािी साकी,43,F,Communist Party of Nepal (UML),611,Elected
907,Sindhuli,Tinpatan Rural Municipality,Ward President,10,पणु्य हरि िजेुल,37,M,Nepali Congress,400,Elected
908,Sindhuli,Tinpatan Rural Municipality,Ward Member,10,गोक्रर्तद बहादिु काकी,37,M,Nepali Congress,409,Elected
909,Sindhuli,Tinpatan Rural Municipality,Ward Member,10,नमन बहादिु घोले,35,M,Nepali Congress,389,Elected
910,Sindhuli,Tinpatan Rural Municipality,Female Ward Member,10,य ुमाया आले मगि,54,F,Nepali Congress,401,Elected
911,Sindhuli,Tinpatan Rural Municipality,Dalit Female Ward Member,10,शम्िमुाया दमाई,31,F,Nepali Congress,400,Elected
912,Sindhuli,Tinpatan Rural Municipality,Ward President,11,क्रहत लाल शे्रष् ठ,63,M,Communist Party of Nepal (UML),723,Elected
913,Sindhuli,Tinpatan Rural Municipality,Ward Member,11,चकु्त र्हादिु थापा,43,M,Communist Party of Nepal (UML),722,Elected
914,Sindhuli,Tinpatan Rural Municipality,Ward Member,11,मान बहादिु तामाि,34,M,Communist Party of Nepal (UML),696,Elected
915,Sindhuli,Tinpatan Rural Municipality,Female Ward Member,11,मोती माया रुर्ाले मगि,44,F,Communist Party of Nepal (UML),699,Elected
916,Sindhuli,Tinpatan Rural Municipality,Dalit Female Ward Member,11,ओम कुमािी साकी,44,F,Communist Party of Nepal (UML),708,Elected
917,Sindhuli,Dudhouli Urban Municipality,Mayor,,घन श् याम िाउत,50,M,Communist Party of Nepal (UML),8598,Elected
918,Sindhuli,Dudhouli Urban Municipality,Vice-Mayor,,बाल कुमािी अनधकािी,46,F,Communist Party of Nepal (UML),8740,Elected
919,Sindhuli,Dudhouli Urban Municipality,Ward President,1,गोक्रर्तद प्रसाद पहाडी,40,M,Nepali Congress,929,Elected
920,Sindhuli,Dudhouli Urban Municipality,Ward Member,1,्याम बहादिु बोगटी,37,M,Nepali Congress,886,Elected
921,Sindhuli,Dudhouli Urban Municipality,Ward Member,1,र्षृ लाल धामी,60,M,Nepali Congress,885,Elected
922,Sindhuli,Dudhouli Urban Municipality,Female Ward Member,1,चतर माया माझी,38,F,Nepali Congress,919,Elected
923,Sindhuli,Dudhouli Urban Municipality,Dalit Female Ward Member,1,मन माया नमजाि,30,F,Nepali Congress,926,Elected
924,Sindhuli,Dudhouli Urban Municipality,Ward President,2,रितेश िाउत,26,M,Communist Party of Nepal (UML),864,Elected
925,Sindhuli,Dudhouli Urban Municipality,Ward Member,2,अजर् लाल कुमि,36,M,Communist Party of Nepal (UML),861,Elected
926,Sindhuli,Dudhouli Urban Municipality,Ward Member,2,सजु बहादिु बिै,48,M,Communist Party of Nepal (UML),808,Elected
927,Sindhuli,Dudhouli Urban Municipality,Female Ward Member,2,सततोली खड्का,49,F,Communist Party of Nepal (UML),823,Elected
928,Sindhuli,Dudhouli Urban Municipality,Dalit Female Ward Member,2,गंगा माया कामी,63,F,Communist Party of Nepal (UML),851,Elected
929,Sindhuli,Dudhouli Urban Municipality,Ward President,3,सान धामी,44,M,Communist Party of Nepal (UML),605,Elected
930,Sindhuli,Dudhouli Urban Municipality,Ward Member,3,शंकि िाज नतर्ािी /र्मा,52,M,Communist Party of Nepal (UML),626,Elected
931,Sindhuli,Dudhouli Urban Municipality,Ward Member,3,सननलाल अनधकािी,58,M,Communist Party of Nepal (UML),607,Elected
932,Sindhuli,Dudhouli Urban Municipality,Female Ward Member,3,धन कुमािी न्घनमिे,37,F,Communist Party of Nepal (UML),610,Elected
933,Sindhuli,Dudhouli Urban Municipality,Dalit Female Ward Member,3,खनु माया क्रर्श्वकमा,38,F,Communist Party of Nepal (UML),623,Elected
934,Sindhuli,Dudhouli Urban Municipality,Ward President,4,दगुा बहादिु िाउत,50,M,Communist Party of Nepal (UML),746,Elected
935,Sindhuli,Dudhouli Urban Municipality,Ward Member,4,निम नाथ सापकोटा,53,M,Communist Party of Nepal (UML),760,Elected
936,Sindhuli,Dudhouli Urban Municipality,Ward Member,4,झ्याउला कुमि,57,M,Communist Party of Nepal (UML),733,Elected
937,Sindhuli,Dudhouli Urban Municipality,Female Ward Member,4,अरुल कुमािी थारु धामी,46,F,Communist Party of Nepal (UML),735,Elected
938,Sindhuli,Dudhouli Urban Municipality,Dalit Female Ward Member,4,सरिता क्रर्श् र्कमा,31,F,Communist Party of Nepal (UML),763,Elected
939,Sindhuli,Dudhouli Urban Municipality,Ward President,5,चत र क्रकशोि थारु,48,M,Nepali Congress,623,Elected
940,Sindhuli,Dudhouli Urban Municipality,Ward Member,5,घनुा कुमि,47,M,Nepali Congress,603,Elected
941,Sindhuli,Dudhouli Urban Municipality,Ward Member,5,प्रमे बहादिु खरी,45,M,Nepali Congress,602,Elected
942,Sindhuli,Dudhouli Urban Municipality,Female Ward Member,5,गोमा कुमािी पोखिेल,55,F,Nepali Congress,632,Elected
943,Sindhuli,Dudhouli Urban Municipality,Dalit Female Ward Member,5,िानधका लामगादे,39,F,Nepali Congress,611,Elected
944,Sindhuli,Dudhouli Urban Municipality,Ward President,6,लाल बहादिु न्घनसङग,59,M,Communist Party of Nepal (Maoist Centre),666,Elected
945,Sindhuli,Dudhouli Urban Municipality,Ward Member,6,उमिा अनधकािी,61,M,Communist Party of Nepal (Maoist Centre),680,Elected
946,Sindhuli,Dudhouli Urban Municipality,Ward Member,6,मधरु्ा अनधकािी,44,M,Communist Party of Nepal (Maoist Centre),643,Elected
947,Sindhuli,Dudhouli Urban Municipality,Female Ward Member,6,दयो बती अनधकािी,46,F,Communist Party of Nepal (Maoist Centre),680,Elected
948,Sindhuli,Dudhouli Urban Municipality,Dalit Female Ward Member,6,फुल माया क्रर्श्वकमा,29,F,Communist Party of Nepal (Maoist Centre),674,Elected
949,Sindhuli,Dudhouli Urban Municipality,Ward President,7,कुमाि बस् नत,48,M,Nepali Congress,797,Elected
950,Sindhuli,Dudhouli Urban Municipality,Ward Member,7,हरि बहादिु अनधकािी के्षरी,60,M,Nepali Congress,648,Elected
951,Sindhuli,Dudhouli Urban Municipality,Ward Member,7,दोजे लामा,33,M,Communist Party of Nepal (UML),643,Elected
952,Sindhuli,Dudhouli Urban Municipality,Female Ward Member,7,प्रनतक्षा नगिी,31,F,Communist Party of Nepal (UML),660,Elected
953,Sindhuli,Dudhouli Urban Municipality,Dalit Female Ward Member,7,फूल माया तामाङ,33,F,Communist Party of Nepal (UML),666,Elected
954,Sindhuli,Dudhouli Urban Municipality,Ward President,8,मोहन चतर दाहाल,45,M,Communist Party of Nepal (UML),474,Elected
955,Sindhuli,Dudhouli Urban Municipality,Ward Member,8,लक्ष्मी प्रसाद पोिले,60,M,Communist Party of Nepal (UML),574,Elected
956,Sindhuli,Dudhouli Urban Municipality,Ward Member,8,गजेतर कुमाि कण,56,M,Communist Party of Nepal (UML),535,Elected
957,Sindhuli,Dudhouli Urban Municipality,Female Ward Member,8,होम कुमािी ठकुिी,53,F,Communist Party of Nepal (UML),526,Elected
958,Sindhuli,Dudhouli Urban Municipality,Dalit Female Ward Member,8,क्रर्तदा परियाि,48,F,Communist Party of Nepal (UML),543,Elected
959,Sindhuli,Dudhouli Urban Municipality,Ward President,9,िाम कुमाि अनधकािी,51,M,Communist Party of Nepal (Maoist Centre),764,Elected
960,Sindhuli,Dudhouli Urban Municipality,Ward Member,9,छर र्हादिु खरी,66,M,Communist Party of Nepal (Maoist Centre),751,Elected
961,Sindhuli,Dudhouli Urban Municipality,Ward Member,9,बल िाम चौधिी,64,M,Communist Party of Nepal (Maoist Centre),680,Elected
962,Sindhuli,Dudhouli Urban Municipality,Female Ward Member,9,क्रर्लासी कुमािी अनधकािी,38,F,Communist Party of Nepal (Maoist Centre),765,Elected
963,Sindhuli,Dudhouli Urban Municipality,Dalit Female Ward Member,9,रिना सदा,41,F,Communist Party of Nepal (Maoist Centre),780,Elected
964,Sindhuli,Dudhouli Urban Municipality,Ward President,10,दगुा र्हादिु देर्कोटा,57,M,Communist Party of Nepal (Maoist Centre),716,Elected
965,Sindhuli,Dudhouli Urban Municipality,Ward Member,10,सोमना अनधकािी,33,M,Communist Party of Nepal (Maoist Centre),694,Elected
966,Sindhuli,Dudhouli Urban Municipality,Ward Member,10,िनबया कुमि दनरु्ाि,70,M,Communist Party of Nepal (Maoist Centre),690,Elected
967,Sindhuli,Dudhouli Urban Municipality,Female Ward Member,10,गंगा अनधकािी,37,F,Communist Party of Nepal (Maoist Centre),716,Elected
968,Sindhuli,Dudhouli Urban Municipality,Dalit Female Ward Member,10,नसता बैज ु,39,F,Communist Party of Nepal (Maoist Centre),706,Elected
969,Sindhuli,Dudhouli Urban Municipality,Ward President,11,कुमाि लामा,34,M,Communist Party of Nepal (Maoist Centre),1018,Elected
970,Sindhuli,Dudhouli Urban Municipality,Ward Member,11,हरि बहादिु बजुा मगि,44,M,Communist Party of Nepal (Maoist Centre),1030,Elected
971,Sindhuli,Dudhouli Urban Municipality,Ward Member,11,र्री कुमि दनरु्ाि,36,M,Communist Party of Nepal (Maoist Centre),1015,Elected
972,Sindhuli,Dudhouli Urban Municipality,Female Ward Member,11,जनु माया सनुरु्ाि,38,F,Communist Party of Nepal (Maoist Centre),1029,Elected
973,Sindhuli,Dudhouli Urban Municipality,Dalit Female Ward Member,11,कमला नब क,35,F,Communist Party of Nepal (Maoist Centre),1027,Elected
974,Sindhuli,Dudhouli Urban Municipality,Ward President,12,बाघ नसं पािीन,44,M,Communist Party of Nepal (UML),606,Elected
975,Sindhuli,Dudhouli Urban Municipality,Ward Member,12,अमि बहादिु खरी,32,M,Communist Party of Nepal (UML),606,Elected
976,Sindhuli,Dudhouli Urban Municipality,Ward Member,12,न्चर र्हादिु मोक्तान,55,M,Communist Party of Nepal (UML),559,Elected
977,Sindhuli,Dudhouli Urban Municipality,Female Ward Member,12,मनुा कुमािी आले,39,F,Communist Party of Nepal (UML),609,Elected
978,Sindhuli,Dudhouli Urban Municipality,Dalit Female Ward Member,12,सनमला दमाई,37,F,Communist Party of Nepal (UML),583,Elected
979,Sindhuli,Dudhouli Urban Municipality,Ward President,13,नमलन सनुरु्ाि,39,M,Nepali Congress,936,Elected
980,Sindhuli,Dudhouli Urban Municipality,Ward Member,13,रुर बहादिु िाय,49,M,Nepali Congress,886,Elected
981,Sindhuli,Dudhouli Urban Municipality,Ward Member,13,न्शर् र्हादिु मगि,34,M,Nepali Congress,875,Elected
982,Sindhuli,Dudhouli Urban Municipality,Female Ward Member,13,सतत कुमािी तामाङ,48,F,Nepali Congress,894,Elected
983,Sindhuli,Dudhouli Urban Municipality,Dalit Female Ward Member,13,ददल माया दामाई,46,F,Nepali Congress,894,Elected
984,Sindhuli,Dudhouli Urban Municipality,Ward President,14,नलला र्हादिु थापा मगि,53,M,Communist Party of Nepal (UML),652,Elected
985,Sindhuli,Dudhouli Urban Municipality,Ward Member,14,न्जत र्हादिु आलेमगि,41,M,Nepali Congress,622,Elected
986,Sindhuli,Dudhouli Urban Municipality,Ward Member,14,नतलक बहादिु सनुरु्ाि,55,M,Communist Party of Nepal (UML),606,Elected
987,Sindhuli,Dudhouli Urban Municipality,Female Ward Member,14,गमुासिी िाइनी,56,F,Communist Party of Nepal (UML),619,Elected
988,Sindhuli,Dudhouli Urban Municipality,Dalit Female Ward Member,14,गायरी माया क्रर्.क.,38,F,Communist Party of Nepal (UML),637,Elected
989,Sindhuli,Phikkal Rural Municipality,Mayor,,धन बहादिु काकी,56,M,Communist Party of Nepal (UML),3126,Elected
990,Sindhuli,Phikkal Rural Municipality,Vice-Mayor,,पार्ती सनुरु्ाि,32,F,Communist Party of Nepal (UML),3214,Elected
991,Sindhuli,Phikkal Rural Municipality,Ward President,1,चेत बहादिु क्रर्श्र्कमा,64,M,Nepali Congress,600,Elected
992,Sindhuli,Phikkal Rural Municipality,Ward Member,1,िमेश खरी,26,M,Nepali Congress,609,Elected
993,Sindhuli,Phikkal Rural Municipality,Ward Member,1,रुप नसंह सनुरु्ाि,45,M,Nepali Congress,575,Elected
994,Sindhuli,Phikkal Rural Municipality,Female Ward Member,1,बाल कुमािी मगि,40,F,Nepali Congress,614,Elected
995,Sindhuli,Phikkal Rural Municipality,Dalit Female Ward Member,1,फुल कुमािी क्रर्श् र्कमा,32,F,Nepali Congress,591,Elected
996,Sindhuli,Phikkal Rural Municipality,Ward President,2,शंकि बहादिु िण्डािी,47,M,Communist Party of Nepal (UML),673,Elected
997,Sindhuli,Phikkal Rural Municipality,Ward Member,2,िाजन बहादिु लिुलेी,43,M,Communist Party of Nepal (UML),652,Elected
998,Sindhuli,Phikkal Rural Municipality,Ward Member,2,दान बहादिु सनुरु्ाि,30,M,Communist Party of Nepal (UML),643,Elected
999,Sindhuli,Phikkal Rural Municipality,Female Ward Member,2,पणु माया थापामगि,27,F,Communist Party of Nepal (UML),648,Elected
1000,Sindhuli,Phikkal Rural Municipality,Dalit Female Ward Member,2,गंगा माया साकी,53,F,Communist Party of Nepal (UML),643,Elected
1001,Sindhuli,Phikkal Rural Municipality,Ward President,3,टेक बहादिु िजन मगि,55,M,Communist Party of Nepal (UML),567,Elected
1002,Sindhuli,Phikkal Rural Municipality,Ward Member,3,नतथ िाज पहाडी,64,M,Nepali Congress,509,Elected
1003,Sindhuli,Phikkal Rural Municipality,Ward Member,3,ददपक बाहादिु शे्रष्ठ,46,M,Communist Party of Nepal (UML),498,Elected
1004,Sindhuli,Phikkal Rural Municipality,Female Ward Member,3,क्रर्ष्ण ुमाया सनुरु्ाि,42,F,Communist Party of Nepal (UML),527,Elected
1005,Sindhuli,Phikkal Rural Municipality,Dalit Female Ward Member,3,जगत कुमािी कामी,55,F,Communist Party of Nepal (UML),523,Elected
1006,Sindhuli,Phikkal Rural Municipality,Ward President,4,गोपाल बहादिु मगि,44,M,Communist Party of Nepal (UML),669,Elected
1007,Sindhuli,Phikkal Rural Municipality,Ward Member,4,कृष् ण बहादिु केपछाकी,60,M,Communist Party of Nepal (UML),672,Elected
1008,Sindhuli,Phikkal Rural Municipality,Ward Member,4,िान ुिक्त शे्रष् ठ,40,M,Communist Party of Nepal (UML),638,Elected
1009,Sindhuli,Phikkal Rural Municipality,Female Ward Member,4,क्रर्ष्ण ुकुमािी बिाल न्घनमिे,37,F,Communist Party of Nepal (UML),655,Elected
1010,Sindhuli,Phikkal Rural Municipality,Dalit Female Ward Member,4,चेत कुमािी क्रर्.क,24,F,Communist Party of Nepal (UML),676,Elected
1011,Sindhuli,Phikkal Rural Municipality,Ward President,5,िाज ुबिाल,36,M,Communist Party of Nepal (UML),574,Elected
1012,Sindhuli,Phikkal Rural Municipality,Ward Member,5,न्चर बहादिु शे्रष् ठ,40,M,Communist Party of Nepal (UML),495,Elected
1013,Sindhuli,Phikkal Rural Municipality,Ward Member,5,िेष बहादिु िाना मगि,38,M,Communist Party of Nepal (UML),466,Elected
1014,Sindhuli,Phikkal Rural Municipality,Female Ward Member,5,टंक माया बढुाशे्ररी,33,F,Communist Party of Nepal (UML),483,Elected
1015,Sindhuli,Phikkal Rural Municipality,Dalit Female Ward Member,5,क्रर्ष् ण ुकुमािी दनमनी,46,F,Communist Party of Nepal (UML),471,Elected
1016,Sindhuli,Phikkal Rural Municipality,Ward President,6,खड्ग र्हादिु नपाली,27,M,Nepali Congress,530,Elected
1017,Sindhuli,Phikkal Rural Municipality,Ward Member,6,छक्रर् लाल िाई,27,M,Nepali Congress,489,Elected
1018,Sindhuli,Phikkal Rural Municipality,Ward Member,6,ित् न बहादिु सनुरु्ाि,54,M,Communist Party of Nepal (UML),468,Elected
1019,Sindhuli,Phikkal Rural Municipality,Female Ward Member,6,फन्णतर कुमारि पौडेल,52,F,Communist Party of Nepal (UML),474,Elected
1020,Sindhuli,Phikkal Rural Municipality,Dalit Female Ward Member,6,धन कुमारि कामी,54,F,Nepali Congress,477,Elected
1021,Sindhuli,Marin Rural Municipality,Mayor,,पानी िाज बम्जन,49,M,Communist Party of Nepal (Maoist Centre),4741,Elected
1022,Sindhuli,Marin Rural Municipality,Vice-Mayor,,संनगता माझी,35,F,Communist Party of Nepal (Maoist Centre),4532,Elected
1023,Sindhuli,Marin Rural Municipality,Ward President,1,क्रहिा बहादिु गमुाछान मगि,42,M,Communist Party of Nepal (Maoist Centre),616,Elected
1024,Sindhuli,Marin Rural Municipality,Ward Member,1,गोपी लाल लानमछान मगि,43,M,Communist Party of Nepal (Maoist Centre),615,Elected
1025,Sindhuli,Marin Rural Municipality,Ward Member,1,क्रहिा बहादिु िोलोन,56,M,Communist Party of Nepal (Maoist Centre),607,Elected
1026,Sindhuli,Marin Rural Municipality,Female Ward Member,1,चीिम ुमाया मकु्तान,52,F,Communist Party of Nepal (Maoist Centre),629,Elected
1027,Sindhuli,Marin Rural Municipality,Dalit Female Ward Member,1,चेली माया कामी,52,F,Communist Party of Nepal (Maoist Centre),0,Unopposed
1028,Sindhuli,Marin Rural Municipality,Ward President,2,चतर नाथ गौतम,30,M,Communist Party of Nepal (Maoist Centre),667,Elected
1029,Sindhuli,Marin Rural Municipality,Ward Member,2,खड्ग बहादिु ठाडा मगि,43,M,Communist Party of Nepal (Maoist Centre),668,Elected
1030,Sindhuli,Marin Rural Municipality,Ward Member,2,रुप लाल बम्जन,46,M,Communist Party of Nepal (Maoist Centre),663,Elected
1031,Sindhuli,Marin Rural Municipality,Female Ward Member,2,ईशािा ठाडा मगि,35,F,Communist Party of Nepal (Maoist Centre),669,Elected
1032,Sindhuli,Marin Rural Municipality,Dalit Female Ward Member,2,देर् कुमािी कामी,27,F,Communist Party of Nepal (Maoist Centre),676,Elected
1033,Sindhuli,Marin Rural Municipality,Ward President,3,क्रर्मस मकु्तान,32,M,Communist Party of Nepal (Maoist Centre),693,Elected
1034,Sindhuli,Marin Rural Municipality,Ward Member,3,क्रर्सन लाल घोले,45,M,Communist Party of Nepal (Maoist Centre),683,Elected
1035,Sindhuli,Marin Rural Municipality,Ward Member,3,सबु्बा नसं घलान,39,M,Communist Party of Nepal (Maoist Centre),669,Elected
1036,Sindhuli,Marin Rural Municipality,Female Ward Member,3,नसद्ध माया नथङ,33,F,Communist Party of Nepal (Maoist Centre),693,Elected
1037,Sindhuli,Marin Rural Municipality,Dalit Female Ward Member,3,नसता बिाइली,36,F,Communist Party of Nepal (Maoist Centre),699,Elected
1038,Sindhuli,Marin Rural Municipality,Ward President,4,धन बहादिु स्याङतान,34,M,Communist Party of Nepal (Maoist Centre),878,Elected
1039,Sindhuli,Marin Rural Municipality,Ward Member,4,पेमा दोजे बम्जन,43,M,Communist Party of Nepal (Maoist Centre),851,Elected
1040,Sindhuli,Marin Rural Municipality,Ward Member,4,चतर बहादिु माझी,59,M,Communist Party of Nepal (Maoist Centre),846,Elected
1041,Sindhuli,Marin Rural Municipality,Female Ward Member,4,नसता माझी,41,F,Communist Party of Nepal (Maoist Centre),847,Elected
1042,Sindhuli,Marin Rural Municipality,Dalit Female Ward Member,4,इन्तदिा िसाइली,24,F,Communist Party of Nepal (Maoist Centre),874,Elected
1043,Sindhuli,Marin Rural Municipality,Ward President,5,प्रचाि नसं बम्जन,53,M,Communist Party of Nepal (Maoist Centre),431,Elected
1044,Sindhuli,Marin Rural Municipality,Ward Member,5,ददपक माझी,33,M,Communist Party of Nepal (Maoist Centre),324,Elected
1045,Sindhuli,Marin Rural Municipality,Ward Member,5,ऐमान बम्जन,42,M,Communist Party of Nepal (UML),319,Elected
1046,Sindhuli,Marin Rural Municipality,Female Ward Member,5,पूणी माया लामा,51,F,Communist Party of Nepal (Maoist Centre),363,Elected
1047,Sindhuli,Marin Rural Municipality,Dalit Female Ward Member,5,अक्रर्ना क्रर् क,27,F,Communist Party of Nepal (Maoist Centre),349,Elected
1048,Sindhuli,Marin Rural Municipality,Ward President,6,कुसाङ लामा,39,M,Communist Party of Nepal (Maoist Centre),622,Elected
1049,Sindhuli,Marin Rural Municipality,Ward Member,6,ददुिाज आिण,48,M,Communist Party of Nepal (Maoist Centre),659,Elected
1050,Sindhuli,Marin Rural Municipality,Ward Member,6,हकक्रर्ि मान्झ,41,M,Communist Party of Nepal (Maoist Centre),632,Elected
1051,Sindhuli,Marin Rural Municipality,Female Ward Member,6,पंच माया नथङ दोजे (र्ाईर्ा),35,F,Communist Party of Nepal (Maoist Centre),647,Elected
1052,Sindhuli,Marin Rural Municipality,Dalit Female Ward Member,6,नसता क्रर्श्र्कमा,35,F,Communist Party of Nepal (Maoist Centre),653,Elected
1053,Sindhuli,Marin Rural Municipality,Ward President,7,िाजन थापा,46,M,Communist Party of Nepal (Maoist Centre),734,Elected
1054,Sindhuli,Marin Rural Municipality,Ward Member,7,नतथ बहादिु देर्कोटा,28,M,Communist Party of Nepal (Maoist Centre),671,Elected
1055,Sindhuli,Marin Rural Municipality,Ward Member,7,क्रर्ष्ण ुलाल घोले,44,M,Communist Party of Nepal (Maoist Centre),640,Elected
1056,Sindhuli,Marin Rural Municipality,Female Ward Member,7,ददपा माझी,42,F,Communist Party of Nepal (Maoist Centre),683,Elected
1057,Sindhuli,Marin Rural Municipality,Dalit Female Ward Member,7,पदम कुमािी क्रर्.क.,49,F,Communist Party of Nepal (Maoist Centre),677,Elected
1058,Sindhuli,Sunkoshi Rural Municipality,Mayor,,ददपा र्ोहोिा-दाहाल,36,F,Communist Party of Nepal (Maoist Centre),3433,Elected
1059,Sindhuli,Sunkoshi Rural Municipality,Vice-Mayor,,दीर् नसं मकु्तान,40,M,Communist Party of Nepal (Maoist Centre),3454,Elected
1060,Sindhuli,Sunkoshi Rural Municipality,Ward President,1,क्रर्मल मान नसं मकु्तान,49,M,Nepali Congress,600,Elected
1061,Sindhuli,Sunkoshi Rural Municipality,Ward Member,1,नर्िाज िण्डािी,50,M,Nepali Congress,600,Elected
1062,Sindhuli,Sunkoshi Rural Municipality,Ward Member,1,गणेश कुमाि तामाङ,36,M,Nepali Congress,590,Elected
1063,Sindhuli,Sunkoshi Rural Municipality,Female Ward Member,1,मक्रहमा िजेुल,36,F,Nepali Congress,584,Elected
1064,Sindhuli,Sunkoshi Rural Municipality,Dalit Female Ward Member,1,चण्डीका साकी,40,F,Nepali Congress,593,Elected
1065,Sindhuli,Sunkoshi Rural Municipality,Ward President,2,िोज कुमाि नसजाली,45,M,Communist Party of Nepal (UML),329,Elected
1066,Sindhuli,Sunkoshi Rural Municipality,Ward Member,2,अम्बि बहादिु बजुा,23,M,Communist Party of Nepal (UML),329,Elected
1067,Sindhuli,Sunkoshi Rural Municipality,Ward Member,2,सबु्बा तामाङ,38,M,Communist Party of Nepal (UML),324,Elected
1068,Sindhuli,Sunkoshi Rural Municipality,Female Ward Member,2,अन्स्मता िाई,34,F,Communist Party of Nepal (UML),334,Elected
1069,Sindhuli,Sunkoshi Rural Municipality,Dalit Female Ward Member,2,सान साक्रकनी,52,F,Communist Party of Nepal (UML),334,Elected
1070,Sindhuli,Sunkoshi Rural Municipality,Ward President,3,िाम चतर आचाय,31,M,Nepali Congress,669,Elected
1071,Sindhuli,Sunkoshi Rural Municipality,Ward Member,3,हेम प्रसाद नधमाल,35,M,Nepali Congress,639,Elected
1072,Sindhuli,Sunkoshi Rural Municipality,Ward Member,3,र्ार्िुाम पिुी,58,M,Nepali Congress,631,Elected
1073,Sindhuli,Sunkoshi Rural Municipality,Female Ward Member,3,सम्झना कोइिाला,45,F,Nepali Congress,658,Elected
1074,Sindhuli,Sunkoshi Rural Municipality,Dalit Female Ward Member,3,नसता नपाली,46,F,Nepali Congress,613,Elected
1075,Sindhuli,Sunkoshi Rural Municipality,Ward President,4,शंकि बहादिु जगा,46,M,Communist Party of Nepal (UML),375,Elected
1076,Sindhuli,Sunkoshi Rural Municipality,Ward Member,4,बास ुअनधकािी,45,M,Communist Party of Nepal (UML),379,Elected
1077,Sindhuli,Sunkoshi Rural Municipality,Ward Member,4,ओम बहादिु क्रकङरिङ,39,M,Communist Party of Nepal (Maoist Centre),375,Elected
1078,Sindhuli,Sunkoshi Rural Municipality,Female Ward Member,4,कृष्ण माया तयौपान े,42,F,Communist Party of Nepal (UML),375,Elected
1079,Sindhuli,Sunkoshi Rural Municipality,Dalit Female Ward Member,4,कक्रर्ता दजी,34,F,Communist Party of Nepal (UML),363,Elected
1080,Sindhuli,Sunkoshi Rural Municipality,Ward President,5,कृष्ण िाज दाहाल,36,M,Communist Party of Nepal (Maoist Centre),946,Elected
1081,Sindhuli,Sunkoshi Rural Municipality,Ward Member,5,याम बहादिु सनुरु्ाि,34,M,Communist Party of Nepal (Maoist Centre),899,Elected
1082,Sindhuli,Sunkoshi Rural Municipality,Ward Member,5,क्रहिा र्हादिु दमाई,50,M,Communist Party of Nepal (Maoist Centre),864,Elected
1083,Sindhuli,Sunkoshi Rural Municipality,Female Ward Member,5,क्रर्तदा कुमािी थापा,58,F,Communist Party of Nepal (Maoist Centre),910,Elected
1084,Sindhuli,Sunkoshi Rural Municipality,Dalit Female Ward Member,5,मैया अछामी,42,F,Communist Party of Nepal (Maoist Centre),905,Elected
1085,Sindhuli,Sunkoshi Rural Municipality,Ward President,6,लक्ष्मी प्रसाद नतमल्सेना,49,M,Communist Party of Nepal (UML),746,Elected
1086,Sindhuli,Sunkoshi Rural Municipality,Ward Member,6,न्शर् थापा,37,M,Communist Party of Nepal (UML),760,Elected
1087,Sindhuli,Sunkoshi Rural Municipality,Ward Member,6,श्री कुमाि िाना,38,M,Communist Party of Nepal (UML),718,Elected
1088,Sindhuli,Sunkoshi Rural Municipality,Female Ward Member,6,ननि कुमािी िाना,44,F,Communist Party of Nepal (UML),760,Elected
1089,Sindhuli,Sunkoshi Rural Municipality,Dalit Female Ward Member,6,क्रर्मला तोलङगे,34,F,Communist Party of Nepal (UML),749,Elected
1090,Sindhuli,Sunkoshi Rural Municipality,Ward President,7,लाल र्हादिु गोले तामाङ,62,M,Communist Party of Nepal (Maoist Centre),403,Elected
1091,Sindhuli,Sunkoshi Rural Municipality,Ward Member,7,दीप बहादिु न्घनसङ,53,M,Communist Party of Nepal (Maoist Centre),418,Elected
1092,Sindhuli,Sunkoshi Rural Municipality,Ward Member,7,यरु् िाज दाहाल,51,M,Communist Party of Nepal (Maoist Centre),408,Elected
